Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,3i,Iron,06/24/2024 19:49:25,94,2.2,15.2,2812,261,2824,121.8,150.8,8.4,11.9,26,,,,,,,,,,,
2,3i,Iron,06/24/2024 19:49:51,80.5,-1.3,11.8,2267,185,2275,78.5,109.7,-1.5,5,16.1,,,,,,,,,,,
3,3i,Iron,06/24/2024 19:50:02,80.5,0.3,14.2,3243,212,3250,87.1,113.9,-0.2,7.2,21.2,,,,,,,,,,,
4,3i,Iron,06/24/2024 19:51:00,87.2,-3.1,15.6,2499,54,2500,107.7,137.2,-7.9,10.1,24.3,,,,,,,,,,,
5,3i,Iron,06/24/2024 19:51:21,82.8,-0.4,18.4,2659,291,2675,102.9,129.9,1.5,11.4,27.6,,,,,,,,,,,
6,3i,Iron,06/24/2024 19:51:55,71.6,-1.5,13,1145,-665,1324,55.9,87.8,-7.9,3.5,15,,,,,,,,,,,
7,3i,Iron,06/24/2024 19:52:16,96.2,-1.6,14.2,2247,-487,2299,122.5,155.9,-15,10.7,23.2,,,,,,,,,,,
8,3i,Iron,06/24/2024 19:52:36,96.2,1.5,17.1,3632,702,3699,132.6,157.6,12.9,16.1,31.9,,,,,,,,,,,
9,3i,Iron,06/24/2024 19:52:54,80.5,-2.7,12.3,1027,-570,1175,73,109.9,-12.9,4.5,14.9,,,,,,,,,,,
10,3i,Iron,06/24/2024 19:53:11,94,-2.5,14.7,2149,-575,2225,119.8,152.1,-18.7,10.6,23.3,,,,,,,,,,,
11,3i,Iron,06/24/2024 19:53:23,94,2.9,11.4,2553,610,2625,106.8,139.2,14.4,7.3,18.8,,,,,,,,,,,
12,3i,Iron,06/24/2024 19:53:41,89.5,3.9,16.2,3987,952,4099,109.9,134.1,17.5,11.8,27.9,,,,,,,,,,,
13,3i,Iron,06/24/2024 19:53:58,91.7,1.4,17.3,2449,-13,2449,120.7,149.7,2,13.1,27.7,,,,,,,,,,,
14,3i,Iron,06/24/2024 19:55:25,87.2,0.9,8.8,2012,220,2024,79.6,115.7,3.5,3.7,12.1,,,,,,,,,,,
15,3i,Iron,06/24/2024 19:55:40,76.1,0.8,14.6,1761,-641,1874,72.9,102.7,-5.2,5.6,18.5,,,,,,,,,,,
16,3i,Iron,06/24/2024 19:56:15,87.2,5.6,15.2,2049,-22,2049,106.3,139.1,12.3,9.3,22.5,,,,,,,,,,,
17,3i,Iron,06/24/2024 19:56:43,96.2,7.2,18.2,3434,528,3474,132.9,158.2,26.4,17,32.9,,,,,,,,,,,
18,3i,Iron,06/24/2024 19:57:08,94,0,16.4,2699,14,2699,126.2,154.7,-1.5,13.4,27.7,,,,,,,,,,,
19,3i,Iron,06/24/2024 19:58:02,98.4,5.1,18.4,3077,542,3124,137.4,163.8,22.5,17.6,32.8,,,,,,,,,,,
20,3i,Iron,06/24/2024 19:58:31,89.5,4.9,18.1,2419,158,2424,120,148.8,14.2,13.5,28.5,,,,,,,,,,,
21,PW,Wedge,06/24/2024 19:59:24,69.3,-0.3,21.7,6786,-931,6850,75.6,91.5,-5.1,10,31.5,,,,,,,,,,,
22,PW,Wedge,06/24/2024 19:59:37,73.8,10,22.6,7204,1896,7449,83.6,98.6,24.2,12.2,34.3,,,,,,,,,,,
23,PW,Wedge,06/24/2024 20:00:06,71.6,-2,29.1,6060,-1308,6200,87.3,102.4,-11.8,17,41.3,,,,,,,,,,,
24,PW,Wedge,06/24/2024 20:00:24,73.8,0.5,29.5,7238,-1276,7350,87.2,100.6,-6.3,17.7,42.3,,,,,,,,,,,
25,PW,Wedge,06/24/2024 20:00:40,76.1,-0.1,28.9,6554,-1123,6650,92.5,107,-7.8,18.5,42.3,,,,,,,,,,,
26,PW,Wedge,06/24/2024 20:01:07,71.6,0,29.6,6176,-540,6200,84.8,99.3,-4.1,16.8,41.6,,,,,,,,,,,
27,PW,Wedge,06/24/2024 20:01:24,78.3,-1.3,27.7,8133,-1525,8275,96.5,109.6,-11.9,19.3,42.6,,,,,,,,,,,
28,PW,Wedge,06/24/2024 20:01:55,69.3,2.2,31.6,8700,0,8700,81.5,92.2,2,18.1,44.3,,,,,,,,,,,
29,PW,Wedge,06/24/2024 20:02:10,78.3,-1.4,30.4,6904,-794,6950,99,113.2,-9.6,22.1,45.1,,,,,,,,,,,
30,PW,Wedge,06/24/2024 20:02:27,71.6,6.6,31.9,6408,455,6424,84.9,98.6,12.2,18.7,44.3,,,,,,,,,,,
31,PW,Wedge,06/24/2024 20:02:46,73.8,2.6,27.8,6807,485,6824,88.4,103,5.4,16.7,40.7,,,,,,,,,,,
32,PW,Wedge,06/24/2024 20:03:00,80.5,0.2,29.6,6751,-1157,6849,100.7,115.2,-8.5,21.8,44.4,,,,,,,,,,,
33,SW,Wedge,06/24/2024 20:04:55,76.1,-1.8,34.4,8077,-2117,8350,89.7,101.2,-14.2,23,48.2,,,,,,,,,,,
34,SW,Wedge,06/24/2024 20:05:09,73.8,-2,33,8816,-1809,9000,87.4,98.1,-12.4,21.1,46.9,,,,,,,,,,,
35,SW,Wedge,06/24/2024 20:05:27,62.6,4.1,33.8,6178,-1233,6300,68,80.6,1,14.8,42.9,,,,,,,,,,,
36,SW,Wedge,06/24/2024 20:05:38,64.9,-4,29.6,6169,-2918,6824,70,84,-15.4,12.8,39.1,,,,,,,,,,,
37,SW,Wedge,06/24/2024 20:05:54,69.3,0.1,32,6671,-2428,7099,80.5,93.9,-10.8,17.3,43.5,,,,,,,,,,,
38,SW,Wedge,06/24/2024 20:06:09,64.9,6,36.5,7498,122,7499,70.3,80.7,7.9,17.6,46.8,,,,,,,,,,,
39,SW,Wedge,06/24/2024 20:06:27,69.3,0.6,34,5080,-1510,5300,80.2,95.1,-7.6,18.2,44.6,,,,,,,,,,,
40,SW,Wedge,06/24/2024 20:06:51,69.3,0.4,32.1,9579,-1161,9649,78.2,87.6,-4.5,17.6,45,,,,,,,,,,,
41,SW,Wedge,06/24/2024 20:07:09,69.3,2.2,33.6,6460,-1469,6625,79.1,92.2,-3.6,18,44.9,,,,,,,,,,,
42,SW,Wedge,06/24/2024 20:07:23,71.6,0,34.2,6078,-1557,6274,86.9,100.8,-9.4,20.9,46.4,,,,,,,,,,,
43,SW,Wedge,06/24/2024 20:07:40,69.3,1.1,34.2,8699,-665,8724,81.2,91.4,-2.2,20,46.8,,,,,,,,,,,
44,SW,Wedge,06/24/2024 20:07:55,73.8,2.7,33.5,7550,-1630,7724,88.9,101.1,-4,21.7,46.9,,,,,,,,,,,
45,SW,Wedge,06/24/2024 20:08:20,71.6,0.5,32.5,8667,-1000,8724,85.6,96.4,-4.7,20.1,46,,,,,,,,,,,
46,SW,Wedge,06/24/2024 20:08:58,73.8,2.8,36.5,7395,-1387,7524,85.9,97.6,-2.7,23.3,49.2,,,,,,,,,,,
47,SW,Wedge,06/24/2024 20:09:11,62.6,2,32.9,7022,-1046,7099,68.6,80.3,-1.4,14.6,42.7,,,,,,,,,,,
48,LW,Wedge,06/24/2024 20:09:40,53.7,4.5,39.1,7401,-851,7450,53.6,62.3,2.7,13.7,46.9,,,,,,,,,,,
49,LW,Wedge,06/24/2024 20:09:54,58.2,4,38.9,6649,108,6650,59.7,69.8,4.3,15.4,47.1,,,,,,,,,,,
50,LW,Wedge,06/24/2024 20:10:07,55.9,4.7,48.1,4598,-100,4599,53.6,63.6,4,18.9,54.6,,,,,,,,,,,
51,LW,Wedge,06/24/2024 20:10:23,58.2,-0.2,39.3,6653,-1520,6824,62,72.2,-5.3,16.4,48,,,,,,,,,,,
52,LW,Wedge,06/24/2024 20:10:43,55.9,4.9,43,8073,132,8074,55,62.4,4.7,16.7,51.5,,,,,,,,,,,
53,LW,Wedge,06/24/2024 20:11:02,53.7,1,47.7,2834,-614,2900,50.8,62.6,-1.6,16.7,52.9,,,,,,,,,,,
54,LW,Wedge,06/24/2024 20:11:26,58.2,-3.3,43,5463,-1336,5624,60.2,70.9,-9.1,18,50.9,,,,,,,,,,,
55,LW,Wedge,06/24/2024 20:11:43,51.4,-1.2,48.1,2444,-389,2475,48.7,60.7,-3.4,16,53,,,,,,,,,,,
56,LW,Wedge,06/24/2024 20:12:10,53.7,-3.2,44.4,4607,-1047,4724,52.4,63,-7.2,15.7,50.8,,,,,,,,,,,
57,LW,Wedge,06/24/2024 20:12:26,51.4,-3.7,43.3,4714,-309,4724,49.9,60.4,-5.8,14.3,49.5,,,,,,,,,,,
58,LW,Wedge,06/24/2024 20:12:42,47,2.9,39.2,5808,-1287,5949,41.8,50.6,0.4,9.9,44.7,,,,,,,,,,,
59,LW,Wedge,06/24/2024 20:12:56,47,3.1,43.9,3368,-203,3374,43.3,54.1,1.9,12.1,48.6,,,,,,,,,,,
60,5h,Hybrid,06/24/2024 20:13:57,82.8,5.2,17.3,1242,-461,1325,99.4,133.5,2.5,9.2,22.6,,,,,,,,,,,
61,5h,Hybrid,06/24/2024 20:14:19,111.8,3.9,14,3630,-1122,3799,161.1,188.2,-12.3,18,31.4,,,,,,,,,,,
62,5h,Hybrid,06/24/2024 20:14:36,116.3,1.3,17.5,4267,-704,4325,177.5,201.1,-13.8,27.7,39.9,,,,,,,,,,,
63,5h,Hybrid,06/24/2024 20:15:44,111.8,-2.6,13.7,2692,-1907,3299,148.9,178.2,-47,14.2,26.8,,,,,,,,,,,
64,5h,Hybrid,06/24/2024 20:16:00,116.3,-1,12.6,2797,-1501,3174,163.5,195,-40.9,15.3,27,,,,,,,,,,,
65,5h,Hybrid,06/24/2024 20:16:16,114.1,0.9,17.7,3277,-559,3324,175.8,202.3,-14.1,25.3,37.2,,,,,,,,,,,
66,5h,Hybrid,06/24/2024 20:16:31,111.8,-1.2,11.9,3227,-2990,4399,134.7,161.3,-44.9,11.1,24,,,,,,,,,,,
67,5h,Hybrid,06/24/2024 20:16:42,111.8,-6.7,10.5,1791,-3351,3800,108.8,132.2,-47.5,6.6,16.5,,,,,,,,,,,
68,5h,Hybrid,06/24/2024 20:17:17,107.4,-6.5,16.5,2328,-678,2425,161.5,192.8,-42.7,18.5,30.4,,,,,,,,,,,
69,5h,Hybrid,06/24/2024 20:17:32,91.7,4.4,17.3,1153,-1179,1649,108.8,144.5,-12.8,10.3,23.3,,,,,,,,,,,
