Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,PW,Wedge,07/10/2024 02:26:56,67.1,2.7,27.7,6443,283,6449,75,84.5,3.9,13.3,38.5,,,,,,,,,,,
2,PW,Wedge,07/10/2024 02:27:12,71.6,0.7,28.6,4338,-309,4349,84.7,97.1,-1.8,15.6,39.5,,,,,,,,,,,
3,PW,Wedge,07/10/2024 02:27:26,60.4,5.9,27.7,4224,46,4224,65.3,76.9,7.4,10.7,35.6,,,,,,,,,,,
4,PW,Wedge,07/10/2024 02:27:37,71.6,3.2,28.4,5700,530,5725,83.8,94.6,6.3,15.8,40.3,,,,,,,,,,,
5,PW,Wedge,07/10/2024 02:28:23,78.3,-0.7,24.6,8489,417,8499,94.7,103.5,-1.2,16.7,39.9,,,,,,,,,,,
6,PW,Wedge,07/10/2024 02:28:35,82.8,1.1,27,7007,497,7025,103.7,113.7,3.2,20.9,43.1,,,,,,,,,,,
7,PW,Wedge,07/10/2024 02:29:40,78.3,2.4,28.5,6530,501,6549,95.2,105.2,5.4,19.3,42.9,,,,,,,,,,,
8,PW,Wedge,07/10/2024 02:29:59,80.5,4.5,29.7,6123,1118,6224,99.7,110,13.6,21.6,44.9,,,,,,,,,,,
9,PW,Wedge,07/10/2024 02:30:13,78.3,1.6,27.3,5835,414,5850,96,107.3,3.7,18.3,41.3,,,,,,,,,,,
10,PW,Wedge,07/10/2024 02:30:27,64.9,3.2,27.1,1846,325,1874,72,88,6.6,10.9,33.2,,,,,,,,,,,
11,PW,Wedge,07/10/2024 02:30:48,85,-0.9,28.2,5774,-94,5775,110.5,121.6,-4.7,23.4,44.2,,,,,,,,,,,
12,GW,Wedge,07/10/2024 02:31:28,82.8,3.2,30.8,9636,1483,9749,99.3,106,10.1,24.5,48.3,,,,,,,,,,,
13,GW,Wedge,07/10/2024 02:31:44,78.3,1.5,34.4,5899,776,5950,95.1,105.2,5.3,24.5,48.6,,,,,,,,,,,
14,GW,Wedge,07/10/2024 02:32:00,82.8,5.2,30.4,10205,952,10249,98.8,105.2,11.5,24.2,48.1,,,,,,,,,,,
15,GW,Wedge,07/10/2024 02:32:16,76.1,2.4,32.2,5616,306,5624,94.3,104.6,4.4,21.8,45.9,,,,,,,,,,,
