Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,5w,FW,06/06/2024 07:28:49,114.1,0,15.8,2535,-447,2574,175.3,195.4,-14.2,22.3,35.2,,,,,,,,,,,
2,5w,FW,06/06/2024 07:30:12,123,0.6,21.9,5140,935,5224,174.9,187.8,21.1,41.1,51.1,,,,,,,,,,,
3,5w,FW,06/06/2024 07:30:27,118.6,3,14.1,3757,2336,4424,162.6,174.5,51.2,20.5,36.5,,,,,,,,,,,
4,5w,FW,06/06/2024 07:31:21,116.3,4.1,24.3,5900,1546,6099,156.5,167.9,35.6,39.4,52.1,,,,,,,,,,,
5,6i,Iron,06/06/2024 07:32:44,87.2,2.1,18.1,4724,1298,4899,108.9,122.6,16.5,14.4,34.5,,,,,,,,,,,
6,6i,Iron,06/06/2024 07:33:07,87.2,2.7,26.1,2968,194,2974,119.1,134.1,9.5,22.4,42.3,,,,,,,,,,,
7,Dr,Driver,06/06/2024 07:33:45,125.3,4.5,25.5,5825,2048,6175,167,178.2,48.8,46.8,54.4,,,,,,,,,,,
8,Dr,Driver,06/06/2024 07:34:03,120.8,7,24.2,4972,1972,5349,168.2,172.6,54.6,42.1,52.6,,,,,,,,,,,
9,Dr,Driver,06/06/2024 07:34:34,125.3,2.4,18.7,1872,-543,1949,209.2,232.1,-17.1,30.9,38.8,,,,,,,,,,,
10,Dr,Driver,06/06/2024 07:35:11,116.3,0.8,23.1,3766,1013,3900,171.4,186.3,27,37.2,48.7,,,,,,,,,,,
11,Dr,Driver,06/06/2024 07:35:28,129.7,1.6,19.1,4426,656,4474,193.9,208.5,23.1,40.7,48.9,,,,,,,,,,,
