Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,7i,Iron,06/19/2024 23:45:11,82.8,0.5,26.6,6245,238,6250,102.8,112,2.6,21.3,45.3,,,,,,,,,,,
2,7i,Iron,06/19/2024 23:45:25,87.2,3.9,24.9,4814,1039,4925,112.5,124.3,18.9,21.5,43.5,,,,,,,,,,,
3,7i,Iron,06/19/2024 23:45:37,98.4,1.8,26.4,6165,-336,6174,129.5,140.1,0.7,31.1,49.8,,,,,,,,,,,
4,7i,Iron,06/19/2024 23:45:51,102.9,1.1,24.6,5977,-522,6000,139.3,150.4,-3.6,32.3,49.2,,,,,,,,,,,
5,7i,Iron,06/19/2024 23:46:06,102.9,-1.1,22.6,5657,-1029,5750,138.3,149.7,-16.1,28.5,46.9,,,,,,,,,,,
6,7i,Iron,06/19/2024 23:46:24,96.2,2.8,22,6923,151,6925,124.2,133.6,8,24.1,45.1,,,,,,,,,,,
7,7i,Iron,06/19/2024 23:46:51,91.7,-2.6,23.3,4997,-1136,5125,121.4,133.3,-18.6,22.7,43.6,,,,,,,,,,,
8,7i,Iron,06/19/2024 23:47:04,98.4,0.6,22,7047,-618,7074,130.2,139.5,-4.4,26.2,46.1,,,,,,,,,,,
9,7i,Iron,06/19/2024 23:47:21,85,11.3,28.5,4972,3129,5875,102.8,110.8,43.5,22.1,46.2,,,,,,,,,,,
10,7i,Iron,06/19/2024 23:47:34,102.9,-3.8,22.9,5203,-1703,5475,140.7,153.2,-33.3,28.9,47,,,,,,,,,,,
11,7i,Iron,06/19/2024 23:47:51,100.7,2.2,13.6,3726,743,3799,134.4,151.6,17.4,14.3,30.7,,,,,,,,,,,
12,4h,Hybrid,06/19/2024 23:48:40,116.3,5.2,4.5,2700,521,2750,129.2,156.7,23.7,4.6,11.9,,,,,,,,,,,
13,4h,Hybrid,06/19/2024 23:48:54,127.5,-3.5,14.8,3026,-1492,3374,191.8,198.3,-51.9,26.2,38.9,,,,,,,,,,,
14,4h,Hybrid,06/19/2024 23:49:15,114.1,5.8,18.9,3785,-331,3799,168,183.7,11.1,29,43.4,,,,,,,,,,,
15,4h,Hybrid,06/19/2024 23:49:32,125.3,2.1,18,4470,-514,4499,186.8,201.5,-5.3,35.9,47.1,,,,,,,,,,,
16,4h,Hybrid,06/19/2024 23:49:54,120.8,0.9,17.6,3851,421,3874,180.1,196.2,13.8,30.8,43.9,,,,,,,,,,,
17,4h,Hybrid,06/19/2024 23:50:27,134.2,0.4,19.2,5422,-177,5425,192.2,205.1,-2.6,44,50.9,,,,,,,,,,,
18,4h,Hybrid,06/19/2024 23:51:44,125.3,-1.8,16.4,6086,398,6099,174.8,186.8,1,33.1,47.1,,,,,,,,,,,
19,4h,Hybrid,06/19/2024 23:52:08,127.5,3,18.3,5533,423,5549,181.7,194.7,18.9,38,49.2,,,,,,,,,,,
20,4h,Hybrid,06/19/2024 23:52:46,111.8,2.3,20.3,3108,-2786,4174,150.8,166.5,-43.2,24.4,41.6,,,,,,,,,,,
21,4h,Hybrid,06/19/2024 23:53:20,123,6.2,13.8,5655,1681,5900,172.1,184.8,48.9,26.6,42.9,,,,,,,,,,,
22,4h,Hybrid,06/19/2024 23:53:42,118.6,6,17,6674,-109,6675,163.9,175.2,17,31.1,46.9,,,,,,,,,,,
23,4h,Hybrid,06/19/2024 23:54:35,120.8,9.1,19.6,6014,658,6050,168.3,180.2,40.2,36.1,49.3,,,,,,,,,,,
24,3w,FW,06/19/2024 23:55:42,134.2,-1.5,18.6,4012,550,4050,205.2,220.9,11.2,42.1,48.9,,,,,,,,,,,
25,3w,FW,06/19/2024 23:56:14,109.6,3.3,32.7,4473,97,4474,146.9,159.4,11,47.9,55.8,,,,,,,,,,,
26,3w,FW,06/19/2024 23:56:40,138.7,-2.2,15.4,3950,0,3950,216.4,232.9,-9.2,38.7,46.4,,,,,,,,,,,
27,3w,FW,06/19/2024 23:57:36,132,-0.7,16.9,5402,2041,5775,185.7,198.6,38.9,36.3,48.6,,,,,,,,,,,
28,3w,FW,06/19/2024 23:57:55,132,-1.6,23.2,3799,41,3799,202,217.2,-4.9,50.5,52.2,,,,,,,,,,,
29,3w,FW,06/19/2024 23:58:41,129.7,-6.3,15.3,4309,591,4349,192.1,207.7,-7.8,32,44.3,,,,,,,,,,,
30,3w,FW,06/19/2024 23:58:59,132,-0.6,9.3,3287,1340,3550,190.9,210.3,35.2,18.2,31.3,,,,,,,,,,,
31,3w,FW,06/19/2024 23:59:30,138.7,-2.2,14.3,2004,-2026,2850,197.7,206.6,-68,22.3,33.4,,,,,,,,,,,
32,3w,FW,06/19/2024 23:59:56,140.9,2.1,18.2,4048,465,4075,216.1,232,24.3,45.8,49.8,,,,,,,,,,,
33,3w,FW,06/20/2024 00:00:26,136.5,2.8,13.9,2868,-1473,3224,208.7,227.7,-40.7,27.8,39,,,,,,,,,,,
34,3w,FW,06/20/2024 00:00:51,76.1,-16.9,15.5,0,0,0,30.1,63.6,-18.5,2.1,15.1,,,,,,,,,,,
35,3w,FW,06/20/2024 00:01:05,127.5,-11.8,3.4,1414,-2211,2624,72.5,112.4,-39,1.3,4.6,,,,,,,,,,,
36,3w,FW,06/20/2024 00:01:35,136.5,-1.9,15.6,4548,-124,4550,204.5,219.5,-11,37.8,47.2,,,,,,,,,,,
37,Dr,Driver,06/20/2024 00:03:28,127.5,-2.9,28.4,6394,629,6425,165.4,176.2,1.6,55.4,56.7,,,,,,,,,,,
38,Dr,Driver,06/20/2024 00:03:53,127.5,4.2,25.8,6074,2516,6574,169,173,51.2,49.5,55.8,,,,,,,,,,,
39,Dr,Driver,06/20/2024 00:04:43,132,-3.7,21.2,3079,-354,3099,212.6,230.3,-28.8,45.3,48.7,,,,,,,,,,,
40,Dr,Driver,06/20/2024 00:05:12,136.5,-5.4,18,3250,701,3325,217,234.6,4.7,40.6,46.8,,,,,,,,,,,
41,Dr,Driver,06/20/2024 00:05:35,127.5,-2.7,25.1,6031,3351,6899,165.2,175.9,43.1,45.4,55.2,,,,,,,,,,,
42,Dr,Driver,06/20/2024 00:05:59,129.7,3.9,24.3,5555,1751,5824,176.7,188.7,47,48.7,54.5,,,,,,,,,,,
43,Dr,Driver,06/20/2024 00:06:24,136.5,-3.1,14.8,2086,-404,2125,232.4,256.2,-35.6,29.8,36.9,,,,,,,,,,,
44,Dr,Driver,06/20/2024 00:06:54,138.7,-1.7,15.5,2071,-113,2074,236.9,260.5,-14.1,32,38.1,,,,,,,,,,,
45,Dr,Driver,06/20/2024 00:08:03,136.5,3.2,22.7,4113,1252,4299,200.4,209.6,46.7,50.3,53,,,,,,,,,,,
46,Dr,Driver,06/20/2024 00:09:05,145.4,2.1,18.9,5116,1281,5274,208,221.6,42.2,49.3,52.6,,,,,,,,,,,
47,Dr,Driver,06/20/2024 00:09:34,143.2,-4.5,18.4,5390,1319,5549,205.2,216,15,48,52.3,,,,,,,,,,,
48,Dr,Driver,06/20/2024 00:10:21,132,-1.4,20.3,5634,1476,5824,184.7,197.1,25.3,43.9,52,,,,,,,,,,,
49,Dr,Driver,06/20/2024 00:11:23,143.2,1.7,18.8,3953,876,4049,217.1,233,36.6,46.8,50.4,,,,,,,,,,,
50,Dr,Driver,06/20/2024 00:13:48,138.7,-6.9,8.5,3305,1223,3524,205.5,224.7,11.4,19.5,32.2,,,,,,,,,,,
51,Dr,Driver,06/20/2024 00:14:02,125.3,-9.2,10.4,1185,-1610,1999,144.8,157.6,-56.7,8.9,17.4,,,,,,,,,,,
52,Dr,Driver,06/20/2024 00:15:29,138.7,-2.9,18.3,4892,1028,4999,201,214.8,15.8,43.8,50.6,,,,,,,,,,,
53,Dr,Driver,06/20/2024 00:15:54,143.2,0.6,19.4,4440,1378,4649,210.4,224.9,42.9,48.1,51.6,,,,,,,,,,,
54,Dr,Driver,06/20/2024 00:17:50,134.2,-1.3,24,6402,2829,6999,175.5,186.2,43.4,49.9,55.8,,,,,,,,,,,
55,Dr,Driver,06/20/2024 00:18:50,140.9,-4.9,17.1,5296,1174,5425,203,216,10.1,43.5,50.6,,,,,,,,,,,
56,Dr,Driver,06/20/2024 00:19:09,143.2,-0.5,19.7,5472,1595,5700,201,213.6,36.2,49.5,53.3,,,,,,,,,,,
57,Dr,Driver,06/20/2024 00:19:38,134.2,-4.8,19.7,5989,2254,6399,185.6,197.5,26.8,43.8,52.2,,,,,,,,,,,
58,Dr,Driver,06/20/2024 00:20:00,143.2,-3.4,2.9,2995,-163,2999,197.8,223.5,-18.7,8.6,17.9,,,,,,,,,,,
59,Dr,Driver,06/20/2024 00:20:24,129.7,2.3,19.4,6067,1696,6300,180.8,192.8,39.4,41.4,51.4,,,,,,,,,,,
60,Dr,Driver,06/20/2024 00:20:44,140.9,0,22.5,4493,245,4500,207.5,221.7,7.3,55.4,53.8,,,,,,,,,,,
61,Dr,Driver,06/20/2024 00:21:10,134.2,-5,20.4,5869,2072,6224,183.9,195.8,22.9,44.2,52.4,,,,,,,,,,,
62,Dr,Driver,06/20/2024 00:21:44,134.2,0.9,25.1,5005,1312,5174,188.5,201.4,34.5,54.9,55.3,,,,,,,,,,,
63,Dr,Driver,06/20/2024 00:22:05,134.2,6.5,26.6,5568,2165,5974,177.9,182.2,59.5,55,56.7,,,,,,,,,,,
64,Dr,Driver,06/20/2024 00:22:23,134.2,-3.5,19.7,5150,2067,5549,188.4,201.3,32.5,42.4,51.4,,,,,,,,,,,
65,Dr,Driver,06/20/2024 00:22:50,129.7,-2,23.7,6859,3212,7574,167.5,177.8,41.1,46,55.1,,,,,,,,,,,
66,Dr,Driver,06/20/2024 00:23:19,132,-2.8,21.7,4417,856,4499,193.4,207.9,12.5,46.3,51.7,,,,,,,,,,,
67,Dr,Driver,06/20/2024 00:23:36,107.4,-13.6,5.1,2367,-4488,5074,65.5,89.6,-37.9,1.8,7.4,,,,,,,,,,,
68,Dr,Driver,06/20/2024 00:23:54,143.2,-0.4,17.2,5989,1500,6174,202,214.3,32.4,46,52.1,,,,,,,,,,,
69,Dr,Driver,06/20/2024 00:24:16,136.5,-0.4,14.3,5921,3291,6774,184.3,193.2,53.7,31.8,46.9,,,,,,,,,,,
70,Dr,Driver,06/20/2024 00:24:56,136.5,-4.5,22.8,6779,2425,7200,180.5,190.9,26.8,51.1,55.5,,,,,,,,,,,
