Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed,Push/Pull,Launch Angle,Back Spin,Side Spin,Total Spin,Carry,Total Distance,Offline,Peak Height,Descent Angle,Club Speed,Club Speed at Impact Location,Efficiency,Angle of Attack,Club Path,Face to Target,Lie,Loft,Face Impact Horizontal,Face Impact Vertical,Closure Rate
49,5w,FW,5/28/2024 2:26:01 AM,132 mph,0.332536548376083° L,22.7673149108887°,6232 rpm,1453 R rpm,6399.14306640625 rpm,179.5 yds,179.6 yds,22.9 R yds,48.6 yds,53.9697189331055°,-,-,-,-,-,-,-,-,-,-,-
50,5w,FW,5/28/2024 2:26:45 AM,136.5 mph,9.31816101074219° L,17.7315864562988°,4507 rpm,394 L rpm,4524.18896484375 rpm,204.1 yds,234.2 yds,51.5 L yds,42.2 yds,49.250919342041°,-,-,-,-,-,-,-,-,-,-,-
51,5w,FW,5/28/2024 2:27:06 AM,134.2 mph,9.15723705291748° R,12.3773355484009°,3639 rpm,278 R rpm,3649.603515625 rpm,208.1 yds,215.7 yds,42.4 R yds,28.5 yds,40.188591003418°,-,-,-,-,-,-,-,-,-,-,-
52,5w,FW,5/28/2024 2:27:21 AM,80.5 mph,42.0201148986816° L,44.5226173400879°,0 rpm,0 R rpm,0 rpm,78.1 yds,88.7 yds,59.4 L yds,17.2 yds,45.2748641967773°,-,-,-,-,-,-,-,-,-,-,-
53,5w,FW,5/28/2024 2:27:48 AM,125.3 mph,1.42960393428802° L,16.7077255249023°,12745 rpm,347 L rpm,12749.72265625 rpm,157.5 yds,159.8 yds,6.9 L yds,37.7 yds,52.8774948120117°,-,-,-,-,-,-,-,-,-,-,-
54,Dr,Driver,5/28/2024 2:28:34 AM,134.2 mph,4.89758729934692° L,22.3597106933594°,2429 rpm,319 R rpm,2449.85766601563 rpm,223.6 yds,243.5 yds,5.1 L yds,46.9 yds,48.1240768432617°,-,-,-,-,-,-,-,-,-,-,-
55,Dr,Driver,5/28/2024 2:29:03 AM,132 mph,1.08802664279938° R,25.503173828125°,2003 rpm,539 R rpm,2074.25415039063 rpm,225.1 yds,239.9 yds,31.7 R yds,50.9 yds,49.1276550292969°,-,-,-,-,-,-,-,-,-,-,-
56,Dr,Driver,5/28/2024 2:29:29 AM,132 mph,3.75950741767883° L,21.7062034606934°,231 rpm,326 L rpm,399.545989990234 rpm,200.7 yds,244.6 yds,21.6 L yds,22.4 yds,27.0245513916016°,-,-,-,-,-,-,-,-,-,-,-
57,Dr,Driver,5/28/2024 2:30:15 AM,127.5 mph,3.77346587181091° L,18.7957000732422°,159 rpm,71 R rpm,174.132141113281 rpm,139.7 yds,168.6 yds,19 L yds,12.2 yds,20.2950897216797°,-,-,-,-,-,-,-,-,-,-,-
58,Dr,Driver,5/28/2024 2:30:48 AM,123 mph,2.54434657096863° L,23.0631046295166°,3239 rpm,1326 R rpm,3499.91381835938 rpm,187.2 yds,230.5 yds,37.6 R yds,40.9 yds,49.3999710083008°,-,-,-,-,-,-,-,-,-,-,-
59,Dr,Driver,5/28/2024 2:31:16 AM,129.7 mph,6.29340410232544° L,16.9186725616455°,4807 rpm,1544 R rpm,5048.87939453125 rpm,187.3 yds,212.2 yds,14.1 R yds,35 yds,47.2982597351074°,-,-,-,-,-,-,-,-,-,-,-
60,Dr,Driver,5/28/2024 2:31:36 AM,109.6 mph,4.56485891342163° L,35.6684875488281°,4416 rpm,266 L rpm,4424.00390625 rpm,142.4 yds,160 yds,17.5 L yds,51.9 yds,57.5826263427734°,-,-,-,-,-,-,-,-,-,-,-
61,Dr,Driver,5/28/2024 2:31:56 AM,134.2 mph,4.66035413742065° L,17.0704212188721°,2235 rpm,873 L rpm,2399.44873046875 rpm,222.3 yds,226.3 yds,53.5 L yds,33.4 yds,40.7497978210449°,-,-,-,-,-,-,-,-,-,-,-
62,Dr,Driver,5/28/2024 2:32:39 AM,125.3 mph,10.0291690826416° R,29.5983238220215°,1933 rpm,940 R rpm,2149.43920898438 rpm,201.6 yds,223.2 yds,82.1 R yds,51.8 yds,52.0016479492188°,-,-,-,-,-,-,-,-,-,-,-
63,Dr,Driver,5/28/2024 2:32:57 AM,129.7 mph,0.918667018413544° R,21.1701202392578°,3313 rpm,1961 R rpm,3849.86889648438 rpm,192.2 yds,214.6 yds,61.5 R yds,39.1 yds,48.8367767333984°,-,-,-,-,-,-,-,-,-,-,-
64,Dr,Driver,5/28/2024 2:33:15 AM,136.5 mph,6.47624397277832° L,6.77604389190674°,2156 rpm,286 R rpm,2174.88671875 rpm,198.2 yds,228.8 yds,14.6 L yds,11.4 yds,20.1326293945313°,-,-,-,-,-,-,-,-,-,-,-
65,Dr,Driver,5/28/2024 2:33:38 AM,140.9 mph,2.9354419708252° R,21.8915386199951°,474 rpm,2 L rpm,474.004211425781 rpm,233.3 yds,277.7 yds,14.2 R yds,26.3 yds,27.6376438140869°,-,-,-,-,-,-,-,-,-,-,-
