Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,3w,FW,06/03/2024 06:23:14,111.8,-2.5,22.2,2488,-424,2524,173.7,192.5,-22,31.3,43.2,,,,,,,,,,,
2,3w,FW,06/03/2024 06:24:44,129.7,0.3,19.9,2490,652,2574,214.9,234.8,30.2,39,44.8,,,,,,,,,,,
3,3w,FW,06/03/2024 06:25:42,129.7,2.8,26,2080,919,2274,213,232.9,55.8,48.8,49.9,,,,,,,,,,,
4,3w,FW,06/03/2024 06:28:51,136.5,-4,19.6,3539,505,3575,211.6,228.4,2,44.4,49.1,,,,,,,,,,,
5,3w,FW,06/03/2024 06:29:26,136.5,-4.4,20.5,3349,18,3349,215.4,232.6,-17.4,46.5,49.5,,,,,,,,,,,
6,3w,FW,06/03/2024 06:30:24,143.2,-5.9,15.7,3439,-1294,3674,219.6,225.9,-64.6,37.5,45.7,,,,,,,,,,,
7,3w,FW,06/03/2024 06:30:57,127.5,3.7,28.2,2926,766,3025,197.6,214.4,42.2,55.1,53.9,,,,,,,,,,,
8,3w,FW,06/03/2024 06:31:34,129.7,-5.4,18.5,2723,-104,2725,213.6,234.4,-26.6,37.3,44.3,,,,,,,,,,,
9,3w,FW,06/03/2024 06:32:02,134.2,6.1,26.6,3665,1177,3849,197.3,210,58.1,56.2,54.9,,,,,,,,,,,
10,3w,FW,06/03/2024 06:32:32,134.2,-1.7,10,4045,1913,4475,189.8,206.2,39.5,21.2,35.9,,,,,,,,,,,
11,3w,FW,06/03/2024 06:33:16,132,4.3,28.1,2485,567,2549,213.9,232,43.8,58.6,53.4,,,,,,,,,,,
12,3w,FW,06/03/2024 06:34:17,134.2,-7.2,15.4,4271,-491,4299,201.1,216.6,-41.2,35.1,45.7,,,,,,,,,,,
13,3w,FW,06/03/2024 06:34:44,127.5,6.7,26.4,2866,1532,3250,184.8,197.3,70,48.8,58.1,,,,,,,,,,,
14,3w,FW,06/03/2024 06:36:25,129.7,3.8,14.8,4015,1314,4225,191,207.4,47.9,29.7,42.5,,,,,,,,,,,
15,3w,FW,06/03/2024 06:37:28,138.7,0.9,15.5,3460,-668,3524,217.9,235.5,-20.7,36.7,44.9,,,,,,,,,,,
16,3w,FW,06/03/2024 06:38:03,129.7,6.4,19.4,2314,633,2399,214.7,235.5,55.5,36.7,43.4,,,,,,,,,,,
17,3w,FW,06/03/2024 06:38:16,132,-1.8,6.3,1863,370,1899,178.1,209.1,6.5,8.3,15.4,,,,,,,,,,,
18,3w,FW,06/03/2024 06:38:47,127.5,10.9,27.7,1861,859,2050,212.2,220.7,84.6,49.7,50.8,,,,,,,,,,,
19,3w,FW,06/03/2024 06:39:59,129.7,4.1,22.9,1883,504,1949,225,247,46.1,43.3,45.6,,,,,,,,,,,
20,3w,FW,06/03/2024 06:40:55,132,8.7,18.9,2105,792,2249,214,225.2,67.5,35.2,43.3,,,,,,,,,,,
21,5w,FW,06/03/2024 06:42:43,132,5.4,23.8,2255,448,2299,220.2,240.4,45.2,47.6,48.5,,,,,,,,,,,
22,5w,FW,06/03/2024 06:44:57,129.7,-3.3,19.1,2890,-445,2924,210.2,228.6,-30.9,38.6,45.6,,,,,,,,,,,
23,5w,FW,06/03/2024 06:45:52,127.5,-9.9,16.6,3463,-2050,4024,183.5,189.4,-77.1,28.7,42.4,,,,,,,,,,,
24,5w,FW,06/03/2024 06:46:47,125.3,7,28,2269,374,2300,204.2,222.8,44.3,52,51.5,,,,,,,,,,,
25,5w,FW,06/03/2024 06:47:06,120.8,1.5,29,422,389,574,214.4,247.3,33.8,36.5,38.9,,,,,,,,,,,
26,5w,FW,06/03/2024 06:49:26,129.7,-3.3,26,3498,-735,3574,195.7,211.4,-36.1,52.8,53.4,,,,,,,,,,,
27,4h,Hybrid,06/03/2024 06:50:09,129.7,-2.5,18.1,3110,-1175,3325,198.9,216.8,-48.5,34.3,44.5,,,,,,,,,,,
28,4h,Hybrid,06/03/2024 06:50:32,118.6,6.4,27.6,3474,-56,3474,176.5,191.8,19.9,47.6,52.7,,,,,,,,,,,
29,4h,Hybrid,06/03/2024 06:50:57,118.6,5.2,18.9,3696,-631,3749,179.6,195.9,1.5,32.3,44.8,,,,,,,,,,,
30,4h,Hybrid,06/03/2024 06:51:21,102.9,3.9,15.3,1259,-612,1400,142.3,169.5,-7.7,13,24.3,,,,,,,,,,,
31,4h,Hybrid,06/03/2024 06:51:38,118.6,3.7,22.1,552,645,849,187.7,220.8,50.4,23.9,31.4,,,,,,,,,,,
32,4h,Hybrid,06/03/2024 06:52:43,116.3,1.8,17.1,1292,-469,1374,182.6,209.7,-15.5,20.3,29.5,,,,,,,,,,,
33,4h,Hybrid,06/03/2024 06:54:03,111.8,5.2,18.2,3097,-135,3100,171.4,188.6,13.5,26.8,40.5,,,,,,,,,,,
34,4h,Hybrid,06/03/2024 06:55:42,111.8,-3.4,13.6,2876,-2037,3524,148.3,167.9,-48.7,15.4,30.3,,,,,,,,,,,
35,4h,Hybrid,06/03/2024 06:56:30,129.7,0.7,20.3,3623,-98,3624,200.1,213,-0.3,42,48.7,,,,,,,,,,,
36,4h,Hybrid,06/03/2024 06:57:40,123,6.4,23.2,2299,-25,2299,206.4,226.2,24.1,42,46.7,,,,,,,,,,,
37,5h,Hybrid,06/03/2024 07:00:08,123,-1.9,20.1,2296,-696,2399,198.4,218.8,-35.8,33.5,42.5,,,,,,,,,,,
38,5h,Hybrid,06/03/2024 07:00:34,102.9,9.8,21.6,2643,406,2674,154,171.6,39.8,25.6,40.6,,,,,,,,,,,
