Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,9i,Iron,06/22/2024 03:12:21,76.1,1.7,26.4,5824,-768,5874,92.9,109.2,-2.8,16.6,39.4,,,,,,,,,,,
2,9i,Iron,06/22/2024 03:13:08,85,2.8,28.8,7369,281,7374,109.5,123.4,5.6,24.7,46,,,,,,,,,,,
3,9i,Iron,06/22/2024 03:13:28,82.8,1.5,27.4,5999,-32,5999,105.2,121.4,0.8,21,42.8,,,,,,,,,,,
4,9i,Iron,06/22/2024 03:13:50,87.2,5.6,27.7,7617,708,7650,112.8,126.7,15.3,24.8,45.7,,,,,,,,,,,
5,9i,Iron,06/22/2024 03:14:13,82.8,2.9,25.3,5992,-623,6024,104.3,121.2,0.1,18.8,40.2,,,,,,,,,,,
6,9i,Iron,06/22/2024 03:14:38,78.3,0.9,29.2,4362,-574,4400,99.9,117.9,-4.8,20,42.3,,,,,,,,,,,
7,9i,Iron,06/22/2024 03:14:59,91.7,0.4,26.1,7386,-972,7450,121.2,136,-9.2,25.7,45.1,,,,,,,,,,,
8,9i,Iron,06/22/2024 03:15:19,82.8,4.2,32.5,4547,148,4549,109.7,127,8.7,26.7,47.4,,,,,,,,,,,
9,9i,Iron,06/22/2024 03:15:41,78.3,3.9,31.2,4141,271,4150,102.4,120.5,8.9,22.6,44.7,,,,,,,,,,,
10,9i,Iron,06/22/2024 03:16:03,85,2.8,32.8,3824,-41,3824,112.1,131.2,3.7,27.2,47.2,,,,,,,,,,,
11,9i,Iron,06/22/2024 03:16:32,87.2,3.9,24.6,7938,-433,7950,112.1,126.1,3.7,21.4,42.4,,,,,,,,,,,
12,9i,Iron,06/22/2024 03:16:50,89.5,-1.9,25.5,4287,-734,4349,122,141.8,-15.8,22.7,41.4,,,,,,,,,,,
13,5h,Hybrid,06/22/2024 03:20:12,114.1,3.3,14.5,3391,-1656,3774,160.2,187.4,-25.4,18.2,31.7,,,,,,,,,,,
14,5h,Hybrid,06/22/2024 03:20:57,120.8,-2.5,10.9,3767,-2174,4349,163.6,184.5,-48.7,15.2,28.2,,,,,,,,,,,
15,5h,Hybrid,06/22/2024 03:21:26,94,9,18.9,1738,-200,1749,134.5,166.5,19.5,15.6,29.1,,,,,,,,,,,
16,5h,Hybrid,06/22/2024 03:21:49,120.8,-2,12.7,2619,-1750,3150,170.1,194.3,-50.1,16.2,27.6,,,,,,,,,,,
17,5h,Hybrid,06/22/2024 03:22:21,120.8,2.3,15.2,3601,-1288,3824,181.2,206.9,-26.3,23.9,36.3,,,,,,,,,,,
18,5h,Hybrid,06/22/2024 03:22:47,105.1,8,19.6,3114,255,3124,160.3,186.2,29.7,24.1,37.6,,,,,,,,,,,
19,5h,Hybrid,06/22/2024 03:23:13,125.3,-4.8,4.3,3296,-1839,3774,142.2,176.7,-46.8,5.5,13.3,,,,,,,,,,,
20,5h,Hybrid,06/22/2024 03:23:30,82.8,3.3,31,3095,-706,3175,112.7,133.3,-3.3,24.3,43.9,,,,,,,,,,,
21,5h,Hybrid,06/22/2024 03:24:25,123,5.9,17.9,3649,-19,3649,192.1,216.9,18.5,31.5,41.3,,,,,,,,,,,
22,5h,Hybrid,06/22/2024 03:25:04,120.8,-1.9,5.4,4254,-777,4324,155.6,185,-22.2,8.8,19.7,,,,,,,,,,,
23,5h,Hybrid,06/22/2024 03:25:48,120.8,6.5,19.3,2094,-148,2099,202.2,233.6,17.3,29.9,37.4,,,,,,,,,,,
24,5h,Hybrid,06/22/2024 03:26:14,100.7,8.1,18.5,2394,-518,2449,146.5,175.3,10.6,18.4,31.8,,,,,,,,,,,
25,5h,Hybrid,06/22/2024 03:27:04,120.8,2.9,13.2,4316,-1181,4475,175.8,200.2,-17.3,21.5,34.9,,,,,,,,,,,
26,5h,Hybrid,06/22/2024 03:27:21,123,6.3,19.4,4962,791,5025,182.3,203.7,35.3,34.8,45,,,,,,,,,,,
27,5h,Hybrid,06/22/2024 03:27:46,116.3,0.7,15.4,4296,164,4299,174.3,197.9,2.9,24.4,37.4,,,,,,,,,,,
28,3w,FW,06/22/2024 03:29:05,120.8,5.3,27.9,3885,554,3924,181.8,203.9,29,47.9,51.1,,,,,,,,,,,
29,3w,FW,06/22/2024 03:29:29,123,0.6,15.7,759,-1293,1499,166.3,211.2,-48.2,14.8,23.2,,,,,,,,,,,
30,3w,FW,06/22/2024 03:30:37,127.5,5.2,19.2,4165,1950,4599,189.4,195.4,53.7,35,45.5,,,,,,,,,,,
31,3w,FW,06/22/2024 03:31:52,134.2,1.7,17.2,3223,105,3225,221.2,248.3,7.5,36.8,42.5,,,,,,,,,,,
32,3w,FW,06/22/2024 03:32:32,134.2,7.3,17.5,3911,1048,4049,210.2,228.8,55.6,37.4,44.7,,,,,,,,,,,
33,3w,FW,06/22/2024 03:33:55,136.5,-1.2,14.6,3866,509,3899,216.9,241.6,7.3,33.4,41.3,,,,,,,,,,,
34,3w,FW,06/22/2024 03:34:30,125.3,0.3,20.2,2567,196,2574,212.4,241.3,5.7,36.6,42.2,,,,,,,,,,,
35,3w,FW,06/22/2024 03:35:31,129.7,8.5,23.4,2401,1233,2699,214.4,223.5,76.6,42.8,47.3,,,,,,,,,,,
36,3w,FW,06/22/2024 03:38:07,136.5,0.7,21,4385,1304,4575,207.7,221.9,32.8,46.2,49.5,,,,,,,,,,,
37,Dr,Driver,06/22/2024 03:39:08,132,5.1,22.5,2476,1010,2674,220.2,240.1,59,43.7,46.3,,,,,,,,,,,
38,Dr,Driver,06/22/2024 03:39:29,127.5,-2.4,12.5,4945,2574,5575,177,198.8,35,22.4,37.3,,,,,,,,,,,
39,Dr,Driver,06/22/2024 03:40:15,140.9,2.6,18.5,4020,663,4074,224.3,248.1,29.3,45.1,47.3,,,,,,,,,,,
40,Dr,Driver,06/22/2024 03:40:58,127.5,-0.1,14.3,1320,-279,1349,205.8,247.6,-18,18.8,25.3,,,,,,,,,,,
41,Dr,Driver,06/22/2024 03:42:14,138.7,0,19.8,3288,862,3399,224.3,250.1,28.5,44,46.6,,,,,,,,,,,
42,Dr,Driver,06/22/2024 03:43:33,134.2,3.2,23.7,1713,550,1799,240.6,273.2,46.4,45.8,44.3,,,,,,,,,,,
43,Dr,Driver,06/22/2024 03:44:08,127.5,1.9,22.5,2221,354,2249,220.6,250.4,21.9,41.6,44,,,,,,,,,,,
44,Dr,Driver,06/22/2024 03:44:37,138.7,2,20.9,3608,924,3724,222,246.4,36.9,47.6,48.5,,,,,,,,,,,
45,Dr,Driver,06/22/2024 03:45:05,127.5,2.9,25.9,2429,854,2575,212.7,239.1,44.8,48.3,48.6,,,,,,,,,,,
46,Dr,Driver,06/22/2024 03:46:24,123,4.7,25.8,1925,898,2124,207,231.2,56.2,42.8,46.1,,,,,,,,,,,
47,Dr,Driver,06/22/2024 03:47:08,129.7,11.7,25.2,1852,609,1950,224.2,227.7,69.3,47.4,40.2,,,,,,,,,,,
