Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,4h,Hybrid,06/10/2024 01:42:42,94,5.2,23.8,3039,467,3075,134.1,149.4,22.4,24.1,41.8,,,,,,,,,,,
2,4h,Hybrid,06/10/2024 01:43:11,94,-3.8,20.5,2471,-134,2475,136.1,154.5,-13.3,19.8,36.3,,,,,,,,,,,
3,4h,Hybrid,06/10/2024 01:44:29,87.2,2.8,22.2,2321,-1113,2574,117.6,135.2,-11.9,17.3,35.8,,,,,,,,,,,
4,4h,Hybrid,06/10/2024 01:45:00,98.4,-1,20.7,3284,324,3300,138.3,154.1,3.1,22.1,39.6,,,,,,,,,,,
5,4h,Hybrid,06/10/2024 01:45:43,102.9,-3.7,19.3,3194,191,3200,151.6,168.1,-6.7,23.4,39.4,,,,,,,,,,,
6,4h,Hybrid,06/10/2024 01:46:36,100.7,-2.4,16.6,4363,992,4474,136.3,151,7.9,18.6,36.8,,,,,,,,,,,
7,4h,Hybrid,06/10/2024 01:46:52,102.9,-0.1,10.8,3404,-372,3424,131.2,150.6,-6.2,10.8,24.7,,,,,,,,,,,
8,8i,Iron,06/10/2024 01:48:44,85,-2.8,25.7,5015,-1054,5125,108.5,119.3,-15.4,21.3,44,,,,,,,,,,,
9,8i,Iron,06/10/2024 01:48:59,89.5,-1.4,25.2,5589,-1239,5725,113.9,124.3,-14.3,23,45.2,,,,,,,,,,,
10,8i,Iron,06/10/2024 01:49:24,80.5,3.7,27.9,5907,712,5950,98.8,108.3,12.1,21.1,45.7,,,,,,,,,,,
11,8i,Iron,06/10/2024 01:49:40,85,2.2,27.9,6044,263,6050,105.5,114.9,6.5,23.5,47,,,,,,,,,,,
12,8i,Iron,06/10/2024 01:49:54,78.3,2.8,28,5299,28,5299,97.2,107.2,5.6,20.3,44.9,,,,,,,,,,,
13,8i,Iron,06/10/2024 01:50:17,82.8,1.3,29.2,6142,1156,6250,103.6,112.6,11.1,24.3,47.9,,,,,,,,,,,
14,3w,FW,06/10/2024 01:52:12,114.1,2.2,26.3,4647,1843,4999,157.4,170.1,39.3,40.3,52.1,,,,,,,,,,,
15,3w,FW,06/10/2024 01:52:58,118.6,0.9,24.2,3949,1763,4325,171.3,185.5,42.6,40,50.9,,,,,,,,,,,
16,3w,FW,06/10/2024 01:53:50,123,-7.7,19.7,2782,490,2825,197.3,215.7,-11.3,35.2,44.3,,,,,,,,,,,
17,3w,FW,06/10/2024 01:55:37,125.3,7.1,25.2,4908,2798,5650,169,174.2,70.3,44,54.1,,,,,,,,,,,
18,3w,FW,06/10/2024 01:55:56,125.3,3.3,23.7,4494,2074,4949,175.8,180.6,52.9,42.9,52.3,,,,,,,,,,,
19,Dr,Driver,06/10/2024 01:57:20,123,-7.1,19.6,5027,2523,5625,169.6,182.5,22.7,33.9,48.4,,,,,,,,,,,
20,Dr,Driver,06/10/2024 01:57:41,118.6,-10.4,22.5,5218,2752,5899,161.5,173.3,12.8,36.4,50.7,,,,,,,,,,,
21,Dr,Driver,06/10/2024 01:58:02,118.6,-6.3,22.8,4440,2011,4874,168.6,182,20.2,37.7,50.2,,,,,,,,,,,
22,Dr,Driver,06/10/2024 01:58:28,123,7.3,24.8,5508,3901,6750,155.5,165.6,75,40.5,57.4,,,,,,,,,,,
23,Dr,Driver,06/10/2024 01:59:02,120.8,2.2,25.3,7843,4759,9174,149.9,152.9,52.2,41.4,55.5,,,,,,,,,,,
24,Dr,Driver,06/10/2024 01:59:46,116.3,-0.4,20.8,4995,2847,5749,159.2,172.1,44.3,32,48.1,,,,,,,,,,,
25,Dr,Driver,06/10/2024 02:00:03,120.8,-0.8,23.3,5572,2939,6300,161.5,173.4,43.5,38.6,51.8,,,,,,,,,,,
26,Dr,Driver,06/10/2024 02:00:34,123,-7.6,13.3,2233,-943,2424,186.4,194.9,-54.4,19.7,31.3,,,,,,,,,,,
27,Dr,Driver,06/10/2024 02:00:59,125.3,0.5,22.9,4832,2295,5349,175.7,188.5,47.8,42.2,52.3,,,,,,,,,,,
28,Dr,Driver,06/10/2024 02:01:24,125.3,0.9,19.9,6368,3359,7200,167.2,175.4,50.4,36.6,50.9,,,,,,,,,,,
29,Dr,Driver,06/10/2024 02:02:21,120.8,-3.9,19.9,1683,-235,1699,205.9,229.6,-28.1,30.9,38.5,,,,,,,,,,,
30,Dr,Driver,06/10/2024 02:02:45,114.1,3.1,25.4,7058,3922,8074,146.6,149.9,47.9,38.4,53.8,,,,,,,,,,,
31,Dr,Driver,06/10/2024 02:03:29,129.7,0.5,19.6,3543,974,3674,200.6,217.2,32.9,40.1,48,,,,,,,,,,,
32,Dr,Driver,06/10/2024 02:03:55,118.6,-2.1,22.4,3240,849,3349,180,196.6,17.1,37,47.4,,,,,,,,,,,
33,Dr,Driver,06/10/2024 02:04:36,123,-1.1,22.8,4599,2144,5074,173,186.4,40.1,40.1,51,,,,,,,,,,,
