Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,LW,Wedge,07/16/2024 04:28:43,60.4,-0.6,35.4,7797,-212,7800,64.2,69.6,-1.3,16.1,48.3,,,,,,,,,,,
2,LW,Wedge,07/16/2024 04:29:09,53.7,5.6,43.9,5796,-189,5799,50.2,55.4,5.3,15.9,53.3,,,,,,,,,,,
3,LW,Wedge,07/16/2024 04:29:24,58.2,0.3,37,7107,-778,7149,59.9,65.6,-1.5,15.5,48.7,,,,,,,,,,,
4,LW,Wedge,07/16/2024 04:29:40,55.9,0.7,39.4,0,0,0,48.3,66.2,0.9,9.4,40,,,,,,,,,,,
5,LW,Wedge,07/16/2024 04:29:59,58.2,-1.1,40.5,6092,-633,6125,58.8,64.8,-3,17.2,51.6,,,,,,,,,,,
6,LW,Wedge,07/16/2024 04:30:43,58.2,1,35.3,7249,-79,7249,57.6,63.3,1,13.7,46.2,,,,,,,,,,,
7,LW,Wedge,07/16/2024 04:31:12,51.4,3.3,39.6,6797,-185,6800,47.4,52.2,2.9,12.6,48.5,,,,,,,,,,,
8,LW,Wedge,07/16/2024 04:31:27,58.2,-1.2,34.7,6208,-1555,6400,59.8,66.5,-5.6,13.8,45.7,,,,,,,,,,,
9,LW,Wedge,07/16/2024 04:31:51,58.2,-0.1,36.5,6987,-1394,7125,58.8,63.4,-3.3,14.8,48,,,,,,,,,,,
10,LW,Wedge,07/16/2024 04:32:17,47,5.5,41.7,6447,175,6449,41.5,45.9,4.8,11.5,49.5,,,,,,,,,,,
11,SW,Wedge,07/16/2024 04:33:00,67.1,0.8,33.3,8048,-1283,8150,72.8,78.7,-2.9,17.7,48,,,,,,,,,,,
12,SW,Wedge,07/16/2024 04:33:13,62.6,1.7,36.9,5616,-615,5650,67.1,74.4,0.1,17.6,49.1,,,,,,,,,,,
13,SW,Wedge,07/16/2024 04:33:30,62.6,4.4,36.9,5324,-29,5324,65.8,73.3,5.7,17,48.6,,,,,,,,,,,
14,SW,Wedge,07/16/2024 04:33:47,62.6,2.3,37.5,5248,-114,5249,65.8,73.2,2.6,17.4,49.2,,,,,,,,,,,
15,SW,Wedge,07/16/2024 04:35:12,58.2,3,31.5,7193,-314,7200,59.1,65.4,2.8,12.1,42.6,,,,,,,,,,,
16,SW,Wedge,07/16/2024 04:35:57,62.6,0.9,32.3,6672,-841,6725,68.8,76,-1.5,15.3,45.1,,,,,,,,,,,
17,SW,Wedge,07/16/2024 04:36:11,58.2,-4.1,30.9,5846,-2209,6249,58.7,66.5,-10.7,11.5,41,,,,,,,,,,,
18,SW,Wedge,07/16/2024 04:36:29,69.3,0.2,32.8,8866,-1020,8924,76.8,82.4,-3,19.1,48.5,,,,,,,,,,,
19,SW,Wedge,07/16/2024 04:36:49,69.3,1.9,36.8,0,0,0,59.4,84.9,2.8,10.5,37.4,,,,,,,,,,,
20,SW,Wedge,07/16/2024 04:37:07,67.1,0.9,35.5,7820,-1116,7899,74.6,80.5,-2.5,20.1,50.5,,,,,,,,,,,
21,SW,Wedge,07/16/2024 04:37:28,64.9,-3.4,29.6,7931,-1220,8024,71.3,77.8,-8.5,14.6,43.5,,,,,,,,,,,
22,GW,Wedge,07/16/2024 04:37:54,73.8,-1.4,28.4,7624,-1387,7749,84.7,91.9,-8.2,17.7,44.9,,,,,,,,,,,
23,GW,Wedge,07/16/2024 04:38:10,71.6,1.1,30.3,5467,-1697,5724,82.6,91.5,-6.9,17.7,44.6,,,,,,,,,,,
24,GW,Wedge,07/16/2024 04:38:22,71.6,3.1,30.3,8042,-351,8050,81.5,88,3.6,18.4,46.5,,,,,,,,,,,
25,GW,Wedge,07/16/2024 04:38:54,67.1,3.6,32,6484,-925,6550,75.1,82.6,1.7,17,45.9,,,,,,,,,,,
26,GW,Wedge,07/16/2024 04:39:31,67.1,4.1,31.8,6990,-690,7024,75.1,82.2,3.6,17,45.8,,,,,,,,,,,
27,GW,Wedge,07/16/2024 04:39:47,73.8,-0.6,29.2,6208,-1555,6400,86.1,94.7,-8.9,18.2,44.6,,,,,,,,,,,
28,GW,Wedge,07/16/2024 04:40:09,69.3,3.8,33.2,6924,37,6924,76.8,83.9,6,18.7,47.9,,,,,,,,,,,
29,GW,Wedge,07/16/2024 04:40:28,67.1,5.2,31.9,6912,-721,6950,72.9,80.1,4.9,16.4,45.7,,,,,,,,,,,
30,GW,Wedge,07/16/2024 04:40:41,71.6,2.3,29.5,6165,-1022,6249,83.7,92.2,-1.3,17.7,44.7,,,,,,,,,,,
31,GW,Wedge,07/16/2024 04:41:04,71.6,1.4,27.6,6911,-1257,7024,83.3,91.3,-3.2,16.5,43.2,,,,,,,,,,,
32,GW,Wedge,07/16/2024 04:41:24,67.1,6.6,32.6,6848,149,6850,74.4,81.6,10.3,17.3,46.7,,,,,,,,,,,
33,GW,Wedge,07/16/2024 04:41:39,76.1,2.2,30,8446,-692,8474,87.3,93.7,0.8,20.3,47.7,,,,,,,,,,,
34,PW,Wedge,07/16/2024 04:42:18,87.2,-2.6,24.4,6600,-1737,6825,110.2,119.6,-18.5,21.8,44.8,,,,,,,,,,,
35,PW,Wedge,07/16/2024 04:42:45,76.1,2.2,29.9,6449,-35,6449,91.3,99.8,3.8,20.7,46.7,,,,,,,,,,,
36,PW,Wedge,07/16/2024 04:43:00,71.6,3.9,28.6,4597,-505,4625,84.6,95.1,3.4,16.6,42.5,,,,,,,,,,,
37,PW,Wedge,07/16/2024 04:43:16,71.6,5.6,27.5,5664,-340,5674,83.3,88.5,7.3,15.9,42,,,,,,,,,,,
38,PW,Wedge,07/16/2024 04:43:58,82.8,2,25.1,6450,-1137,6549,101.2,110.5,-3.6,19.5,43.6,,,,,,,,,,,
39,PW,Wedge,07/16/2024 04:44:15,76.1,-0.8,25.8,5361,-1860,5674,91.8,102.2,-13.1,16.8,41.6,,,,,,,,,,,
40,PW,Wedge,07/16/2024 04:44:42,78.3,3.9,28.7,5268,-578,5300,97.3,107.3,3.2,20.9,45.6,,,,,,,,,,,
41,PW,Wedge,07/16/2024 04:44:57,71.6,9.3,33.6,6191,1408,6349,83.2,91.1,21.9,20.9,48.7,,,,,,,,,,,
42,PW,Wedge,07/16/2024 04:45:12,76.1,3.8,27.6,3760,-1208,3949,93,104.7,-2.9,17.6,41.8,,,,,,,,,,,
43,PW,Wedge,07/16/2024 04:45:42,85,-3.5,25.6,6795,-1781,7025,107.2,116.2,-19.8,22.1,45.7,,,,,,,,,,,
44,PW,Wedge,07/16/2024 04:46:02,78.3,2.4,28.9,5370,-560,5399,96,105.8,0.6,20.7,45.6,,,,,,,,,,,
45,PW,Wedge,07/16/2024 04:46:16,80.5,2.9,27.2,5360,-648,5399,98.5,108.7,1,19.9,44,,,,,,,,,,,
46,9i,Iron,07/16/2024 04:46:51,87.2,1.1,25.4,7747,211,7750,108.6,116.8,3.8,23.2,46.6,,,,,,,,,,,
47,9i,Iron,07/16/2024 04:47:18,76.1,-0.1,22.7,2773,-537,2825,92.4,107.8,-5.7,13.2,34,,,,,,,,,,,
48,9i,Iron,07/16/2024 04:47:32,87.2,2.5,27.3,5143,-766,5200,112.6,123.4,-1.8,24.5,46.6,,,,,,,,,,,
49,9i,Iron,07/16/2024 04:47:55,85,5.4,27.2,5917,290,5924,107.5,117.6,13.7,23.3,46.5,,,,,,,,,,,
50,9i,Iron,07/16/2024 04:48:09,91.7,-2.5,22.3,5739,-1913,6049,116.2,126.9,-22.5,20.8,42.6,,,,,,,,,,,
51,9i,Iron,07/16/2024 04:48:22,89.5,1,24.6,6617,-654,6649,113.2,122.8,-3,23.1,45.5,,,,,,,,,,,
52,9i,Iron,07/16/2024 04:48:40,91.7,2.2,27.1,5489,-814,5549,119.6,130.5,-3.2,27.2,48.1,,,,,,,,,,,
