Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,4i,Iron,07/04/2024 01:05:53,107.4,0.6,17.2,5196,540,5224,153.6,168.4,6.5,23,38.7,,,,,,,,,,,
2,5i,Iron,07/04/2024 01:07:49,100.7,-2,16.9,3824,-41,3824,141.4,158.9,-8.5,18,33.5,,,,,,,,,,,
3,5i,Iron,07/04/2024 01:08:34,102.9,2.9,19.3,5495,2214,5924,137.7,151.1,29,21.6,39.6,,,,,,,,,,,
4,5i,Iron,07/04/2024 01:09:09,105.1,-0.4,16.8,4656,-638,4700,151,167.3,-12.8,20.9,36.1,,,,,,,,,,,
5,5i,Iron,07/04/2024 01:09:51,111.8,0.8,18.5,3558,-547,3600,167.5,185.6,-11.8,25.4,38.4,,,,,,,,,,,
6,5i,Iron,07/04/2024 01:10:20,102.9,0,16.6,1797,-877,2000,148.2,173.4,-24.2,15.6,27.6,,,,,,,,,,,
7,5i,Iron,07/04/2024 01:10:41,105.1,-4.6,11,4441,-863,4524,136.7,155.3,-25.5,11.9,25.9,,,,,,,,,,,
8,5i,Iron,07/04/2024 01:10:58,98.4,1.9,15.4,1151,-1037,1549,122.8,152,-19.1,10.5,21.8,,,,,,,,,,,
9,5i,Iron,07/04/2024 01:11:38,116.3,0.8,17,4006,-594,4050,173.9,191.2,-12.5,25.8,38.7,,,,,,,,,,,
10,3h,Hybrid,07/04/2024 01:13:47,105.1,5.3,16.2,2439,-418,2475,155.8,178.1,4.4,17.6,29.9,,,,,,,,,,,
11,3h,Hybrid,07/04/2024 01:14:05,109.6,2,14.5,2520,-1329,2849,155.8,178.4,-25,15.9,28.3,,,,,,,,,,,
12,3h,Hybrid,07/04/2024 01:14:41,123,2.7,14.3,2935,-996,3099,192,213.1,-21.8,23.1,33.9,,,,,,,,,,,
13,3h,Hybrid,07/04/2024 01:15:12,105.1,4.7,17.5,1832,-397,1875,159.3,184.5,1.4,18.2,29.5,,,,,,,,,,,
14,3h,Hybrid,07/04/2024 01:15:31,120.8,2.2,8.9,2875,-855,2999,168.7,193.5,-15,12.1,22.6,,,,,,,,,,,
15,GW,Wedge,07/04/2024 01:17:21,73.8,0.9,41.2,3799,20,3799,88.9,100.4,-0.1,27.5,52.2,,,,,,,,,,,
16,GW,Wedge,07/04/2024 01:17:43,73.8,-5.1,32.4,4898,-1227,5049,90.7,101.7,-17.7,20.3,44.6,,,,,,,,,,,
17,GW,Wedge,07/04/2024 01:17:55,62.6,-0.2,21.7,2157,-1581,2674,59.7,75.9,-7.8,6.8,26.3,,,,,,,,,,,
18,GW,Wedge,07/04/2024 01:18:13,73.8,0.3,27.7,9650,-685,9674,88.6,95.8,-3.5,17.7,42.5,,,,,,,,,,,
19,GW,Wedge,07/04/2024 01:18:53,80.5,-0.5,30.9,8712,-813,8750,100.6,108.5,-6.9,24.3,47,,,,,,,,,,,
20,SW,Wedge,07/04/2024 01:19:54,64.9,1.5,36.4,7967,-960,8025,72.9,79.8,-1.9,18.7,47.7,,,,,,,,,,,
21,SW,Wedge,07/04/2024 01:20:15,58.2,-2.1,36.2,7237,-952,7299,61.2,67.9,-5.7,14.4,44.9,,,,,,,,,,,
22,SW,Wedge,07/04/2024 01:20:28,55.9,-3,39.5,4139,-846,4225,57.6,66.2,-6.8,14.6,46.6,,,,,,,,,,,
23,PW,Wedge,07/04/2024 01:20:52,87.2,-0.1,28.3,7044,-888,7100,113.4,123.5,-8.4,25.2,45.7,,,,,,,,,,,
24,PW,Wedge,07/04/2024 01:21:09,76.1,0.5,26.5,4447,-834,4525,95.7,108.6,-6.2,16.7,38.4,,,,,,,,,,,
25,PW,Wedge,07/04/2024 01:21:28,78.3,-1,26.5,5860,-1400,6025,97.3,108.5,-11.5,17.8,40.3,,,,,,,,,,,
