Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,GW,Wedge,06/28/2024 01:18:03,69.3,-3.5,24.4,6998,-614,7025,79.2,89.9,-9.6,12,34.4,,,,,,,,,,,
2,GW,Wedge,06/28/2024 01:18:22,69.3,1.3,28.1,7838,-427,7850,78.3,87.4,-1.2,14.2,38.8,,,,,,,,,,,
3,GW,Wedge,06/28/2024 01:18:45,62.6,1.5,36.3,3761,-537,3799,68.8,79.8,-1.5,15.7,43.7,,,,,,,,,,,
4,GW,Wedge,06/28/2024 01:20:45,67.1,3.5,25,7745,-253,7749,75.1,84.8,3,11.7,34.9,,,,,,,,,,,
5,GW,Wedge,06/28/2024 01:20:57,67.1,0,32.4,3321,-438,3350,80.8,94.1,-4.3,16.3,41,,,,,,,,,,,
6,GW,Wedge,06/28/2024 01:22:10,78.3,0.3,31.8,7832,-1033,7900,94.8,103.9,-6.5,21.9,45.2,,,,,,,,,,,
7,GW,Wedge,06/28/2024 01:22:46,67.1,1.6,39.4,3348,-109,3350,80.5,92.9,-0.2,21.5,48,,,,,,,,,,,
8,GW,Wedge,06/28/2024 01:23:09,71.6,2.4,31.4,7820,-256,7824,84.9,93.7,0.9,18.3,43.3,,,,,,,,,,,
9,GW,Wedge,06/28/2024 01:23:35,73.8,3,29,8221,224,8224,88.3,97.3,3.6,17.7,41.8,,,,,,,,,,,
10,GW,Wedge,06/28/2024 01:24:03,71.6,3.3,26,7147,627,7174,81.8,91.9,5.6,13.6,37,,,,,,,,,,,
11,GW,Wedge,06/28/2024 01:24:31,69.3,1.5,37.2,4048,-647,4099,83.3,94.6,-2.9,21,46.6,,,,,,,,,,,
12,GW,Wedge,06/28/2024 01:24:57,76.1,1.6,29.1,7990,-745,8025,92.3,101.4,-2.5,18.7,42.2,,,,,,,,,,,
13,GW,Wedge,06/28/2024 01:26:15,73.8,1.1,34.7,5415,-325,5425,90.2,100.6,-2.1,21.9,46.1,,,,,,,,,,,
14,GW,Wedge,06/28/2024 01:26:33,73.8,7.4,32.1,9148,702,9175,86.2,93.5,12.1,19.8,45.3,,,,,,,,,,,
15,GW,Wedge,06/28/2024 01:27:00,71.6,5.6,36.1,7319,279,7324,84.9,93.2,7.9,22.1,47.8,,,,,,,,,,,
16,GW,Wedge,06/28/2024 01:27:26,73.8,2,25.2,7693,930,7749,85.7,95.6,4.6,14.2,36.9,,,,,,,,,,,
17,GW,Wedge,06/28/2024 01:27:56,60.4,19.1,32.4,5179,3542,6274,62,71.8,30.3,12.2,40.6,,,,,,,,,,,
18,GW,Wedge,06/28/2024 01:28:19,71.6,6.7,39.5,3895,192,3900,84.2,95.7,10.2,23.3,48.9,,,,,,,,,,,
19,PW,Wedge,06/28/2024 01:28:58,78.3,9.1,36,5683,436,5700,98.4,109.7,17.5,26.4,48.8,,,,,,,,,,,
20,PW,Wedge,06/28/2024 01:29:27,73.8,10.5,39.7,2744,407,2774,93.5,107.4,21,26.1,49.5,,,,,,,,,,,
21,PW,Wedge,06/28/2024 01:29:52,89.5,3,28.9,9447,-206,9449,116.7,125.6,1.8,27.8,47,,,,,,,,,,,
22,PW,Wedge,06/28/2024 01:30:19,82.8,5.2,31.9,7670,673,7699,105.6,115.5,11,26,47.2,,,,,,,,,,,
23,PW,Wedge,06/28/2024 01:30:46,78.3,9.5,37,3321,437,3350,101.3,115.2,20.6,26.7,48.4,,,,,,,,,,,
24,PW,Wedge,06/28/2024 01:31:13,82.8,4.4,34.9,5624,-30,5624,105.2,116.7,5.8,27.8,48.5,,,,,,,,,,,
25,PW,Wedge,06/28/2024 01:32:12,82.8,5.3,33.2,7713,423,7725,102.6,112.3,9.5,26.2,47.9,,,,,,,,,,,
26,PW,Wedge,06/28/2024 01:32:37,85,6.8,18.7,7628,1955,7875,101.1,112.8,20.6,13.1,32.8,,,,,,,,,,,
27,PW,Wedge,06/28/2024 01:33:05,78.3,6.8,37,4875,0,4875,99.6,109.3,10.4,27.5,49.3,,,,,,,,,,,
28,PW,Wedge,06/28/2024 01:33:22,76.1,0.9,29.2,4839,-911,4924,95,107.3,-6,18.4,40.7,,,,,,,,,,,
29,PW,Wedge,06/28/2024 01:33:57,78.3,10.2,41.3,4482,393,4499,95.1,106.7,18.8,30.5,52.5,,,,,,,,,,,
30,PW,Wedge,06/28/2024 01:34:42,73.8,7,33.9,5535,395,5549,90.8,101.4,12.1,21.5,45.7,,,,,,,,,,,
31,PW,Wedge,06/28/2024 01:34:57,85,4.4,37.3,4873,132,4875,107.9,120,7.1,31.4,50.6,,,,,,,,,,,
32,PW,Wedge,06/28/2024 01:35:23,76.1,9.5,39,4207,600,4250,92.7,104.8,18.8,26.4,50,,,,,,,,,,,
33,PW,Wedge,06/28/2024 01:35:55,82.8,9,35.6,5597,152,5599,105.6,117,16.6,28.8,49.3,,,,,,,,,,,
34,5i,Iron,06/28/2024 01:36:52,102.9,2.7,19.3,2752,-1193,2999,151.1,171.8,-18.4,20.4,33.8,,,,,,,,,,,
35,5i,Iron,06/28/2024 01:37:08,94,6.8,19.9,3910,1052,4049,129.8,146.6,27.3,18.4,35.1,,,,,,,,,,,
36,5i,Iron,06/28/2024 01:37:26,109.6,2.4,17,5723,124,5724,156.2,170.8,4.8,23.3,38.1,,,,,,,,,,,
37,5i,Iron,06/28/2024 01:37:51,114.1,2.1,18.9,5248,-143,5250,168.7,184.8,-0.1,28.8,41.3,,,,,,,,,,,
38,5i,Iron,06/28/2024 01:38:13,102.9,5.6,20.4,6744,1456,6899,142.9,155.5,25.5,24.9,41.5,,,,,,,,,,,
39,5i,Iron,06/28/2024 01:38:31,107.4,8.3,20.9,6398,1279,6525,150.2,163.2,33.8,27.6,42.9,,,,,,,,,,,
40,5i,Iron,06/28/2024 01:38:52,96.2,-0.4,17.8,2077,-448,2125,138.2,162,-13.1,15.5,28.4,,,,,,,,,,,
41,5i,Iron,06/28/2024 01:39:07,98.4,11.4,26.3,5495,1312,5649,136.4,150.2,39.9,29.1,45.3,,,,,,,,,,,
42,5i,Iron,06/28/2024 01:39:23,109.6,6,19.4,5938,1017,6024,154,168.1,26.2,26.1,41.1,,,,,,,,,,,
43,5i,Iron,06/28/2024 01:39:55,102.9,3.7,19.2,4368,239,4375,145.5,162.1,10.5,21.5,36.9,,,,,,,,,,,
44,5i,Iron,06/28/2024 01:40:21,100.7,7.3,17.7,5469,784,5525,139.8,154.9,25.3,19.8,36.2,,,,,,,,,,,
45,5i,Iron,06/28/2024 01:40:40,89.5,4.2,18.6,1922,94,1924,122,145.4,10.6,13.6,27.6,,,,,,,,,,,
46,5i,Iron,06/28/2024 01:40:59,100.7,6.9,16.4,5759,2958,6474,129.6,144.3,40,16.5,34.2,,,,,,,,,,,
47,5i,Iron,06/28/2024 01:41:17,109.6,5.3,22.1,6579,1390,6724,152.3,165.6,26.7,30.2,44.7,,,,,,,,,,,
48,5i,Iron,06/28/2024 01:41:33,111.8,2.5,20.9,6841,676,6874,159.4,172.9,10.8,31.2,44.1,,,,,,,,,,,
49,5i,Iron,06/28/2024 01:41:58,100.7,9.2,23.8,7008,2042,7299,137.3,149.9,38.3,27.8,44.7,,,,,,,,,,,
50,3i,Iron,06/28/2024 01:42:40,107.4,-1.2,12,1393,-1099,1774,128.7,160,-28.3,8.7,18.1,,,,,,,,,,,
51,3i,Iron,06/28/2024 01:42:57,107.4,6.4,20.4,4672,1914,5049,152.9,168.1,41.3,25.8,41.1,,,,,,,,,,,
52,3i,Iron,06/28/2024 01:43:16,105.1,-2.3,13.3,1528,-852,1749,138.1,167.7,-28.9,10.7,20.5,,,,,,,,,,,
53,3i,Iron,06/28/2024 01:43:34,111.8,0.9,17,2381,-301,2400,177.4,200.7,-9.1,22,32.5,,,,,,,,,,,
54,3i,Iron,06/28/2024 01:43:51,116.3,1,11.2,3027,535,3074,164.2,187.4,12.1,14.3,25.5,,,,,,,,,,,
55,3i,Iron,06/28/2024 01:44:16,114.1,3.3,16,4193,228,4199,168.3,186.1,11.1,22.9,36.1,,,,,,,,,,,
56,3i,Iron,06/28/2024 01:44:50,118.6,-1.6,15.9,3969,-216,3975,182.8,201.5,-14.9,25.7,37.2,,,,,,,,,,,
57,3i,Iron,06/28/2024 01:45:15,120.8,-0.8,15,3162,-943,3300,185.2,206.3,-31.1,22.8,33.7,,,,,,,,,,,
58,3i,Iron,06/28/2024 01:45:34,118.6,8.1,18.6,5429,1022,5524,171.9,187.9,38.2,29.9,42.5,,,,,,,,,,,
59,3i,Iron,06/28/2024 01:45:50,114.1,0.5,16.7,3120,-428,3149,178.7,199.4,-12.8,23.8,34.7,,,,,,,,,,,
60,3i,Iron,06/28/2024 01:46:12,111.8,3.8,17.5,4767,1589,5025,160.3,176.5,31.7,24.1,38.8,,,,,,,,,,,
61,3i,Iron,06/28/2024 01:46:29,105.1,0.2,13.5,1861,-858,2049,141,168.5,-20.9,11.7,22.4,,,,,,,,,,,
62,3i,Iron,06/28/2024 01:47:11,109.6,1.9,11.5,3282,1139,3474,144.3,166.2,21.7,12.2,24.7,,,,,,,,,,,
63,3i,Iron,06/28/2024 01:47:40,109.6,8.6,18.5,4746,1111,4874,159.1,174.9,39,24.9,39.3,,,,,,,,,,,
64,3i,Iron,06/28/2024 01:47:57,111.8,10.2,22,6164,2358,6600,155.9,160.6,49.2,30.9,45.4,,,,,,,,,,,
65,6i,Iron,06/28/2024 01:48:40,96.2,6.6,21.9,6765,1892,7025,129.6,141.9,28.3,22.7,41,,,,,,,,,,,
66,6i,Iron,06/28/2024 01:49:01,105.1,8,27.4,6780,972,6849,143.6,155.7,27.3,35,48.3,,,,,,,,,,,
67,6i,Iron,06/28/2024 01:49:16,109.6,1.7,22.8,6824,-74,6824,156.3,169.7,-0.7,32.7,45.4,,,,,,,,,,,
68,6i,Iron,06/28/2024 01:49:42,102.9,8.4,23.3,6192,306,6200,143.3,156.9,22.4,28.1,43.5,,,,,,,,,,,
69,6i,Iron,06/28/2024 01:50:07,109.6,2.2,23.1,6347,-173,6349,158.4,172.3,-0.3,33.4,45.5,,,,,,,,,,,
70,6i,Iron,06/28/2024 01:50:34,111.8,1.4,21.9,6858,-753,6899,158.6,171.9,-9.3,32.2,44.8,,,,,,,,,,,
71,6i,Iron,06/28/2024 01:51:01,105.1,4.9,24.3,6767,668,6800,145.5,158.3,16.2,31,45.5,,,,,,,,,,,
72,6i,Iron,06/28/2024 01:51:24,105.1,3.1,6.1,1838,1253,2224,89.6,123.5,19.4,3,9,,,,,,,,,,,
73,6i,Iron,06/28/2024 01:51:58,107.4,1.8,21.3,4425,-1583,4700,155.8,172.1,-22.1,26.7,40.2,,,,,,,,,,,
74,6i,Iron,06/28/2024 01:52:25,105.1,1.9,25.6,5850,0,5850,148.3,162.4,0.9,32.7,45.7,,,,,,,,,,,
75,4h,Hybrid,06/28/2024 01:53:53,125.3,-0.7,15.7,5595,215,5599,187.1,203.4,-3.9,30.2,41.3,,,,,,,,,,,
76,4h,Hybrid,06/28/2024 01:55:27,125.3,1.1,15,5049,55,5049,189.2,206.4,-0.1,28.6,39.8,,,,,,,,,,,
