Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,LW,Wedge,07/16/2024 18:24:05,53.7,-2.7,29.7,6745,257,6750,49.9,58,-2.9,9.4,40.7,,,,,,,,,,,
2,LW,Wedge,07/16/2024 18:24:46,51.4,3.1,40.2,6365,-349,6375,46.3,51.1,1.3,13.1,51.1,,,,,,,,,,,
3,LW,Wedge,07/16/2024 18:25:26,58.2,-0.7,30.7,7644,-924,7700,57.8,60.1,-3.9,12,44.1,,,,,,,,,,,
4,SW,Wedge,07/16/2024 18:26:33,78.3,-1.9,26.6,5060,-1656,5324,93.6,97.5,-16.4,18.5,44.5,,,,,,,,,,,
5,PW,Wedge,07/16/2024 18:26:59,69.3,2.4,27.5,4089,-957,4199,78.7,86.7,-3.5,14.6,41.4,,,,,,,,,,,
6,PW,Wedge,07/16/2024 18:27:23,73.8,3.5,28.5,5118,-762,5174,87.4,93.8,0.8,18.5,45.8,,,,,,,,,,,
7,PW,Wedge,07/16/2024 18:27:52,78.3,3.2,28,6602,-543,6624,93.5,100.2,0,21.2,48.2,,,,,,,,,,,
8,PW,Wedge,07/16/2024 18:28:19,80.5,1,25.1,7032,-501,7050,95,101.4,-3.1,19.1,45.6,,,,,,,,,,,
9,PW,Wedge,07/16/2024 18:28:34,76.1,2.8,25.7,7268,-317,7275,89.2,93,1.3,17.9,45.3,,,,,,,,,,,
10,PW,Wedge,07/16/2024 18:28:54,71.6,8.8,32.2,5697,940,5774,82.6,88,17.7,20.6,50.2,,,,,,,,,,,
11,PW,Wedge,07/16/2024 18:29:13,78.3,5,29.5,5750,0,5750,93.8,101,7.3,22.1,49.1,,,,,,,,,,,
12,PW,Wedge,07/16/2024 18:29:31,78.3,5.2,27.4,7053,1009,7125,92.6,95.2,12.6,20.6,48.2,,,,,,,,,,,
13,PW,Wedge,07/16/2024 18:29:45,71.6,6.7,30,6994,267,6999,80.5,86.4,10,18.5,48.2,,,,,,,,,,,
14,PW,Wedge,07/16/2024 18:30:06,71.6,11.9,33,6618,288,6624,82.1,86.9,18.6,21.6,51.6,,,,,,,,,,,
15,PW,Wedge,07/16/2024 18:30:24,82.8,1.4,27.5,7143,-666,7174,99.6,103.7,-3.6,23.2,49.6,,,,,,,,,,,
16,PW,Wedge,07/16/2024 18:30:46,69.3,1.7,27.7,4103,-1200,4275,80.8,89,-6.9,15.3,42.2,,,,,,,,,,,
17,PW,Wedge,07/16/2024 18:31:02,76.1,5.1,30.9,6500,0,6500,90.3,94.4,7.1,22.8,50.7,,,,,,,,,,,
18,PW,Wedge,07/16/2024 18:32:06,80.5,0.8,25.1,7446,-651,7474,97.7,102.7,-4.3,20.2,46.6,,,,,,,,,,,
19,PW,Wedge,07/16/2024 18:32:22,71.6,9.2,34.5,3447,132,3450,86,93.4,14.7,22.1,50.1,,,,,,,,,,,
20,PW,Wedge,07/16/2024 18:32:53,71.6,3.7,26.3,4997,-1344,5175,82.4,89.1,-3.3,15.2,42,,,,,,,,,,,
21,PW,Wedge,07/16/2024 18:33:19,85,2,25.3,9136,-498,9150,100.3,102.4,-1.2,22.4,49.3,,,,,,,,,,,
22,PW,Wedge,07/16/2024 18:33:47,73.8,2.6,27,4396,-167,4399,86.6,94.2,1.7,16.6,43.1,,,,,,,,,,,
23,PW,Wedge,07/16/2024 18:34:03,76.1,4.4,30.3,5919,258,5925,89.2,93.9,7.5,21.4,49.4,,,,,,,,,,,
24,PW,Wedge,07/16/2024 18:34:19,85,-2.1,25.1,5923,-1558,6124,106.4,114,-21.3,22,46.3,,,,,,,,,,,
25,PW,Wedge,07/16/2024 18:34:36,76.1,6.9,27.1,7740,382,7749,87.7,96.1,12.2,18.9,47.2,,,,,,,,,,,
26,PW,Wedge,07/16/2024 18:34:53,78.3,1.9,28.1,4985,-630,5025,96.2,104.2,-3.4,20.9,46.9,,,,,,,,,,,
27,PW,Wedge,07/16/2024 18:35:24,78.3,4.7,32.6,4365,-286,4374,94,102.8,4,24.2,50.7,,,,,,,,,,,
28,PW,Wedge,07/16/2024 18:35:41,82.8,1.4,24.7,9074,49,9074,98.5,101.5,0.8,21.1,48.2,,,,,,,,,,,
29,PW,Wedge,07/16/2024 18:35:59,69.3,3.2,28.2,3824,41,3824,80,88.2,4.2,15.3,42.5,,,,,,,,,,,
30,9i,Iron,07/16/2024 18:36:58,89.5,2.7,25.2,6574,-575,6599,114.1,119.2,-1.8,25.5,49.5,,,,,,,,,,,
31,9i,Iron,07/16/2024 18:37:29,91.7,4.3,26,6499,-35,6499,95.6,0,-7.5,26.8,36.6,,,,,,,,,,,
32,9i,Iron,07/16/2024 18:37:55,91.7,2.3,25.4,5969,-985,6050,117.4,123.9,-8.1,26.3,49.5,,,,,,,,,,,
33,9i,Iron,07/16/2024 18:38:29,82.8,2.2,24,5144,-565,5175,102.1,109.5,-2.3,18.8,43.9,,,,,,,,,,,
34,9i,Iron,07/16/2024 18:38:46,87.2,2.6,26.1,4690,-567,4724,113.8,122.9,-3.4,24.3,47.6,,,,,,,,,,,
35,9i,Iron,07/16/2024 18:39:00,85,2.6,24.9,5600,-522,5624,107.5,113.4,0.9,21.8,46.6,,,,,,,,,,,
36,9i,Iron,07/16/2024 18:39:15,82.8,7.5,28,5526,731,5574,101.7,108.6,18.8,23.1,49.2,,,,,,,,,,,
37,9i,Iron,07/16/2024 18:39:31,89.5,5.1,27.2,7091,350,7100,112.2,120.2,11.5,28.1,52.1,,,,,,,,,,,
38,9i,Iron,07/16/2024 18:39:56,82.8,7.5,26.9,7071,1053,7149,99.1,106.1,19.6,22.3,49.4,,,,,,,,,,,
39,9i,Iron,07/16/2024 18:40:10,80.5,3.8,27.5,7917,1307,8024,96.7,104.5,13.2,22.5,50.3,,,,,,,,,,,
40,9i,Iron,07/16/2024 18:40:26,87.2,4.1,24.3,7563,415,7574,108.8,117.5,9.4,23.3,48.8,,,,,,,,,,,
41,9i,Iron,07/16/2024 18:40:39,87.2,-0.1,22.4,7744,295,7750,108.6,111.8,0.1,21.3,46.7,,,,,,,,,,,
42,9i,Iron,07/16/2024 18:40:56,94,3.7,26.1,7344,-280,7349,117.1,121.4,3,28.9,52,,,,,,,,,,,
43,9i,Iron,07/16/2024 18:41:24,85,8.7,30.1,6718,1336,6850,102.1,108.4,24.8,27,53.2,,,,,,,,,,,
