Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,5i,Iron,06/21/2024 00:15:58,94,-5.2,13.2,3212,-1113,3399,114.5,133.3,-26.5,10.3,25.4,,,,,,,,,,,
2,5i,Iron,06/21/2024 00:16:13,94,2.9,11.5,4037,553,4075,112.4,130,12.9,9.3,24.1,,,,,,,,,,,
3,5i,Iron,06/21/2024 00:16:32,82.8,-2.8,16,3186,-1507,3524,95.6,113.1,-19.9,9.6,26.6,,,,,,,,,,,
4,5i,Iron,06/21/2024 00:21:05,78.3,3,15.3,1240,-157,1250,80.4,104.3,3.3,6.5,19.9,,,,,,,,,,,
5,5i,Iron,06/21/2024 00:22:10,94,-0.5,16.3,2577,-340,2599,125.9,145.4,-7.4,13.8,29.5,,,,,,,,,,,
6,5i,Iron,06/21/2024 00:22:40,80.5,6.5,19.9,3118,-204,3125,97.4,113.2,10.8,12.4,31.8,,,,,,,,,,,
7,5i,Iron,06/21/2024 00:23:16,100.7,7.5,19.6,5390,803,5449,136.8,149.1,30,23.4,42.5,,,,,,,,,,,
8,5i,Iron,06/21/2024 00:23:57,96.2,-7.2,10.3,2878,-1855,3424,103.4,125.4,-36.1,6.8,18.8,,,,,,,,,,,
9,5i,Iron,06/21/2024 00:25:36,102.9,-0.9,13,2904,514,2949,139.7,157,7.4,13.4,27.7,,,,,,,,,,,
10,5i,Iron,06/21/2024 00:26:04,98.4,3.9,16.5,4474,24,4474,134.5,148.8,10.7,18.1,36.3,,,,,,,,,,,
11,5i,Iron,06/21/2024 00:26:34,87.2,5.1,17.2,2817,1100,3024,108.9,127.2,25.6,12.2,29.3,,,,,,,,,,,
12,5i,Iron,06/21/2024 00:27:18,98.4,6.2,21.1,6830,2277,7200,128.1,138.1,35.9,24,44.7,,,,,,,,,,,
13,5i,Iron,06/21/2024 00:27:46,102.9,2.4,7.6,2362,649,2450,112.4,138.7,16,5.5,14.5,,,,,,,,,,,
14,5i,Iron,06/21/2024 00:28:07,107.4,2.7,19,4538,323,4549,151,164.6,13.3,25.6,42.6,,,,,,,,,,,
15,4h,Hybrid,06/21/2024 00:29:51,120.8,1.6,13.8,2932,-1567,3324,172.1,191.3,-34.2,19.9,33.9,,,,,,,,,,,
16,4h,Hybrid,06/21/2024 00:30:37,120.8,6.4,12.1,4509,769,4574,175.1,190.1,37.3,22.2,37.7,,,,,,,,,,,
17,4h,Hybrid,06/21/2024 00:33:00,116.3,3.8,20.8,6544,2024,6850,156.4,167.5,38.9,33.7,49.3,,,,,,,,,,,
18,4h,Hybrid,06/21/2024 00:33:33,127.5,0.1,18.4,4315,-544,4349,192.2,207.5,-14.1,37.7,47.3,,,,,,,,,,,
19,4h,Hybrid,06/21/2024 00:33:52,123,3.5,12,4241,964,4349,175.8,191.9,32.7,21.6,36.7,,,,,,,,,,,
20,4h,Hybrid,06/21/2024 00:34:43,120.8,-2.2,18.6,3290,-748,3374,186.2,203.6,-29.9,32.1,43.7,,,,,,,,,,,
21,4h,Hybrid,06/21/2024 00:35:11,120.8,6.3,18.1,4373,-119,4375,178.7,193.6,18.7,32.6,45.5,,,,,,,,,,,
22,4h,Hybrid,06/21/2024 00:35:32,123,1.2,14.6,4333,-379,4350,183.2,198.2,-4.9,27.7,41.7,,,,,,,,,,,
23,4h,Hybrid,06/21/2024 00:36:00,125.3,5.3,16.8,5989,1500,6174,174.8,187,43.6,33,47.3,,,,,,,,,,,
24,4h,Hybrid,06/21/2024 00:36:26,109.6,8.5,17.9,3721,162,3725,160.1,176,29.7,24.8,40.3,,,,,,,,,,,
25,4h,Hybrid,06/21/2024 00:36:52,118.6,0.8,14.5,3522,-740,3599,177.4,194.3,-16.1,23.7,37.8,,,,,,,,,,,
26,4h,Hybrid,06/21/2024 00:37:15,116.3,3.7,16.7,3168,-207,3175,179.9,197.1,7,26.6,39.7,,,,,,,,,,,
27,4h,Hybrid,06/21/2024 00:37:42,120.8,0.4,13.9,5053,-469,5075,174,187.6,-7.9,25.8,41.4,,,,,,,,,,,
28,Dr,Driver,06/21/2024 00:40:00,129.7,-3.6,17.1,5919,2919,6600,176,188.1,37,33.6,48.2,,,,,,,,,,,
29,Dr,Driver,06/21/2024 00:40:49,125.3,2.8,21.6,3624,1297,3849,189.4,205.5,46.7,40.1,48.9,,,,,,,,,,,
30,Dr,Driver,06/21/2024 00:42:31,134.2,1.3,22.3,3009,841,3124,213.4,231.2,38.4,47.3,49.9,,,,,,,,,,,
31,Dr,Driver,06/21/2024 00:42:55,132,-1.4,14.7,6059,2678,6624,182,194.4,42,31.9,46.7,,,,,,,,,,,
32,Dr,Driver,06/21/2024 00:43:26,125.3,0.7,20.7,3345,940,3475,194,211,32.1,38.8,47.4,,,,,,,,,,,
33,Dr,Driver,06/21/2024 00:43:52,143.2,-1.7,18.5,5070,1783,5374,206.4,220.2,38.9,46.8,52,,,,,,,,,,,
34,Dr,Driver,06/21/2024 00:44:33,125.3,3.7,28.9,2003,539,2074,206.5,226.1,41.3,52.1,51,,,,,,,,,,,
35,Dr,Driver,06/21/2024 00:45:08,132,1,21.3,3172,1076,3350,207.8,224.6,42.5,44.1,49.2,,,,,,,,,,,
36,Dr,Driver,06/21/2024 00:45:36,134.2,-9.2,10.1,3421,1119,3599,198.8,216.8,-1.9,21.1,34,,,,,,,,,,,
37,Dr,Driver,06/21/2024 00:46:34,134.2,4.9,25.6,3024,1119,3224,206,203.7,59.6,53.2,70.7,,,,,,,,,,,
38,Dr,Driver,06/21/2024 00:47:09,136.5,7.7,18.2,2524,1210,2799,209.8,228.5,78.3,36.8,49.7,,,,,,,,,,,
39,Dr,Driver,06/21/2024 00:47:38,127.5,0.6,16.6,4473,2176,4974,179.7,194.4,47.6,30.4,44.7,,,,,,,,,,,
