Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
11,4h,Hybrid,5/30/2024 23:29,129.7,-4.8,12.6,3453,-2390,4199,179.6,186.1,-64.1,21.5,36.3,103.76,101.6848,,7.6,-5.76,-4.8,24,8.195836546
12,4h,Hybrid,5/30/2024 23:30,120.8,3,17.9,3561,-311,3575,184.5,200.8,1.8,31.8,44,96.64,94.7072,,12.9,3.6,3,24,26.90397351
13,4h,Hybrid,5/30/2024 23:31,129.7,3,11.1,4200,0,4200,189.7,205.4,10.8,23.8,38.2,103.76,101.6848,,6.1,3.6,3,24,32.38242097
14,4h,Hybrid,5/30/2024 23:31,134.2,-1.6,1.5,2695,756,2799,140,170.8,9.6,2.6,7.3,107.36,105.2128,,-3.5,-1.92,-1.6,24,25.71535022
15,4h,Hybrid,5/30/2024 23:32,111.8,3.3,16.9,2307,-744,2424,170,190.4,-12.3,22,35.2,89.44,87.6512,,11.9,3.96,3.3,24,13.980322
16,3w,FW,5/30/2024 23:33,120.8,-1.3,23.7,4287,731,4349,173.5,187.5,25.5,41.6,51,83.31034483,81.64413793,,16.7,-1.56,-1.3,15,41.5397351
17,3w,FW,5/30/2024 23:33,107.4,-7.7,24.2,2713,-1878,3300,152.2,158.1,-56.9,29.2,45,74.06896552,72.58758621,,17.2,-9.24,-7.7,15,7.774674115
18,3w,FW,5/30/2024 23:34,136.5,-2.3,17.1,2967,-211,2974,220.7,239.3,-18.3,38.4,45,94.13793103,92.25517241,,10.1,-2.76,-2.3,15,20.19047619
19,3w,FW,5/30/2024 23:36,132,0.1,21,3298,922,3424,202.9,219.3,32.5,43,48.8,91.03448276,89.2137931,,14,0.12,0.1,15,31.96969697
20,3w,FW,5/30/2024 23:41,120.8,-2.4,21.5,3899,1182,4074,177.4,192.5,21.5,37.2,48.5,83.31034483,81.64413793,,14.5,-2.88,-2.4,15,42.06125828
21,5h,Hybrid,5/30/2024 23:42,127.5,-1.5,13,4177,-783,4250,187.7,203.2,-24.7,26.3,40.5,102,99.96,,8,-1.8,-1.5,27,26.61960784
22,5h,Hybrid,5/30/2024 23:43,125.3,-3.7,10.9,4371,166,4374,180.9,196.5,-8.6,21.9,37.1,100.24,98.2352,,5.9,-4.44,-3.7,27,36.20909816
23,5h,Hybrid,5/30/2024 23:43,127.5,-6.8,13.4,4539,-883,4624,185.2,199.6,-43.7,27.4,41.6,102,99.96,,8.4,-8.16,-6.8,27,28.6745098
24,5h,Hybrid,5/30/2024 23:44,127.5,-1.4,16.9,3916,-1124,4074,188.3,203.9,-34.4,32.6,44.9,102,99.96,,11.9,-1.68,-1.4,27,21.89803922
25,Dr,Driver,5/30/2024 23:47,129.7,-4.5,19.3,3168,923,3300,203.5,221,15.6,38.9,46.8,83.67741935,82.00387097,,7.3,-5.4,-4.5,10.5,31.54202005
26,Dr,Driver,5/30/2024 23:47,129.7,-8.9,20.8,1845,-453,1900,225.8,234.1,-58.7,38.8,42.9,83.67741935,82.00387097,,8.8,-10.68,-8.9,10.5,10.73245952
27,5w,FW,5/30/2024 23:50,129.7,-2.7,15.2,3974,-23,3974,196.9,213.3,-10.5,32.4,44,89.44827586,87.65931034,,8.2,-3.24,-2.7,19,30.46260601
28,5w,FW,5/30/2024 23:51,123,-1.5,20.6,5147,2074,5549,172,184.8,34.6,37.4,49.8,84.82758621,83.13103448,,13.6,-1.8,-1.5,19,58.70731707
29,5w,FW,5/30/2024 23:51,138.7,-4,12.4,3193,-601,3249,217.9,235.8,-38.6,29.1,39.7,95.65517241,93.74206897,,5.4,-4.8,-4,19,18.68781543
30,5w,FW,5/30/2024 23:52,120.8,5.5,28.9,3197,583,3250,181.8,197.3,37.6,51.8,53.9,83.31034483,81.64413793,,21.9,6.6,5.5,19,31.29139073
31,5w,FW,5/30/2024 23:53,132,3.3,19.2,3882,-575,3924,201.9,217.5,-4.9,42,49,91.03448276,89.2137931,,12.2,3.96,3.3,19,25.0530303
32,5w,FW,5/30/2024 23:53,134.2,4.5,18.4,3789,-519,3824,207.7,223.6,1.1,41.9,48.5,92.55172414,90.70068966,,11.4,5.4,4.5,19,24.36661699
33,5w,FW,5/30/2024 23:55,123,2,29.7,3947,129,3949,175.1,189.1,10.4,54.9,55.5,84.82758621,83.13103448,,22.7,2.4,2,19,33.13821138
34,4h,Hybrid,5/30/2024 23:57,127.5,1.8,17.7,3424,-18,3424,198.7,216.1,8.4,35.4,45.1,102,99.96,,12.7,2.16,1.8,24,26.71372549
35,3w,FW,5/31/2024 0:03,138.7,-3.2,11.1,4606,632,4649,202.9,217.4,6.9,28.6,42,95.65517241,93.74206897,,4.1,-3.84,-3.2,15,37.76496035
36,3w,FW,5/31/2024 0:04,136.5,6.5,17.9,2987,614,3049,221.6,240,55.1,40.5,46.2,94.13793103,92.25517241,,10.9,7.8,6.5,15,26.38095238
37,3w,FW,5/31/2024 0:05,136.5,0.7,12.6,3707,-365,3725,210.7,228.2,-6.9,30.2,41.6,94.13793103,92.25517241,,5.6,0.84,0.7,15,24.48351648
38,3w,FW,5/31/2024 0:05,134.2,-1.4,15.6,2875,-1345,3174,207.5,226.2,-51.4,31,41.3,92.55172414,90.70068966,,8.6,-1.68,-1.4,15,11.40089419
39,3w,FW,5/31/2024 0:06,118.6,2.3,21.2,3217,-461,3250,184.5,201.3,-4,36.5,46.6,81.79310345,80.15724138,,14.2,2.76,2.3,15,23.23777403
