Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,8i,Iron,06/13/2024 23:43:56,60.4,-3,26,2280,-300,2300,61.9,75.4,-5.7,9.1,33.1,,,,,,,,,,,
2,8i,Iron,06/13/2024 23:44:24,55.9,-2.4,21.5,1817,-1410,2300,49.7,64.5,-8.6,5.6,25.9,,,,,,,,,,,
3,8i,Iron,06/13/2024 23:44:42,73.8,0.8,25.8,4020,-197,4025,90.4,102.5,0,15.7,39.6,,,,,,,,,,,
4,8i,Iron,06/13/2024 23:45:00,76.1,3.3,33,3332,346,3350,94.2,106,9.6,22.3,47.2,,,,,,,,,,,
5,8i,Iron,06/13/2024 23:45:15,87.2,-6.1,23.5,4019,-1128,4174,116.3,129.6,-27.1,20.4,41.4,,,,,,,,,,,
6,8i,Iron,06/13/2024 23:45:36,78.3,5.4,33.4,4270,-186,4274,98.2,109.4,8.9,25.1,49.5,,,,,,,,,,,
7,8i,Iron,06/13/2024 23:45:50,85,-1.3,27,4269,-209,4274,109.9,121.7,-4.9,22.4,44.6,,,,,,,,,,,
8,8i,Iron,06/13/2024 23:46:11,78.3,0,24,5055,-442,5074,97.3,108.8,-3.3,16.7,40,,,,,,,,,,,
9,8i,Iron,06/13/2024 23:46:24,82.8,6.7,25.2,6822,-186,6825,103.7,112.9,12.2,20.6,44.1,,,,,,,,,,,
10,8i,Iron,06/13/2024 23:47:01,80.5,3.6,31.6,2949,-32,2949,107.6,121.6,7.3,24.9,46.9,,,,,,,,,,,
11,8i,Iron,06/13/2024 23:47:32,80.5,-6.6,24.6,4419,-1081,4549,100.7,112.6,-22.3,17.7,40.6,,,,,,,,,,,
12,8i,Iron,06/13/2024 23:48:23,82.8,5,34.7,2899,-47,2899,111,124.2,10.4,29.5,50.1,,,,,,,,,,,
13,8i,Iron,06/13/2024 23:48:40,76.1,0.9,24.2,3569,-1150,3750,92,104.5,-7.9,14.7,37.4,,,,,,,,,,,
14,3h,Hybrid,06/13/2024 23:49:48,102.9,6.2,21.8,2303,577,2374,157.9,177.1,35.8,25.8,40,,,,,,,,,,,
15,3h,Hybrid,06/13/2024 23:50:12,111.8,5.5,13.6,3636,682,3699,157,174.1,30.8,18.5,34.1,,,,,,,,,,,
16,3h,Hybrid,06/13/2024 23:50:30,109.6,1.8,15.6,3400,-411,3425,160,176.9,-3.7,21.1,36.5,,,,,,,,,,,
17,3h,Hybrid,06/13/2024 23:51:05,111.8,6.5,21.4,2564,762,2675,173.9,192.8,45.5,30.4,42.5,,,,,,,,,,,
18,3h,Hybrid,06/13/2024 23:51:29,109.6,0.3,15.2,3000,0,3000,159.8,178.3,1.1,19.7,34.3,,,,,,,,,,,
19,3h,Hybrid,06/13/2024 23:51:54,111.8,4.5,17.8,2949,16,2949,168.7,186.8,15.2,25,38.9,,,,,,,,,,,
20,3w,FW,06/13/2024 23:54:03,116.3,2.7,25.8,4997,881,5074,161.6,174.2,24.6,42.3,52.6,,,,,,,,,,,
21,3w,FW,06/13/2024 23:54:30,120.8,-2.5,23.4,3534,-328,3549,182.7,198.4,-18,41.3,49.5,,,,,,,,,,,
22,3w,FW,06/13/2024 23:55:05,120.8,7.3,23.4,5497,2526,6050,163.7,168.1,58.5,39.8,52.2,,,,,,,,,,,
23,3w,FW,06/13/2024 23:55:52,127.5,2.5,23.7,5426,1975,5774,175.7,187.7,46.3,46.1,53.8,,,,,,,,,,,
24,3w,FW,06/13/2024 23:56:44,129.7,-3,20.4,3159,311,3174,205.4,222.6,0.4,41.4,47.6,,,,,,,,,,,
25,3w,FW,06/13/2024 23:57:50,125.3,-0.2,19.8,5252,2519,5825,173.7,186.5,45.4,36.5,49.7,,,,,,,,,,,
26,3w,FW,06/13/2024 23:58:13,114.1,-4.1,23.4,4907,1291,5074,158.3,171.2,10.3,36.1,49.8,,,,,,,,,,,
27,3w,FW,06/13/2024 23:58:43,129.7,2.2,21.1,4681,1447,4900,187.2,200.9,41.9,43.2,51.3,,,,,,,,,,,
28,3w,FW,06/13/2024 23:59:21,129.7,-0.7,21.5,3369,615,3425,202.7,219.6,18.6,44.1,49.4,,,,,,,,,,,
29,3w,FW,06/13/2024 23:59:48,123,4.1,27.1,6722,2971,7349,156.6,160.2,48.5,47.2,56.1,,,,,,,,,,,
30,Dr,Driver,06/14/2024 00:01:31,129.7,0.3,24.1,2549,625,2625,211.9,230.1,28.6,47.9,49.7,,,,,,,,,,,
31,Dr,Driver,06/14/2024 00:02:23,120.8,-3.7,26.3,3374,55,3374,183,198.8,-11.4,46.9,51.8,,,,,,,,,,,
32,Dr,Driver,06/14/2024 00:02:52,125.3,1.3,27.8,1791,554,1875,212.9,233.6,35.8,50,49.6,,,,,,,,,,,
33,Dr,Driver,06/14/2024 00:03:45,127.5,5.3,26.7,2493,896,2649,202.2,215.3,55.3,50.1,51.5,,,,,,,,,,,
34,Dr,Driver,06/14/2024 00:04:04,120.8,2.6,27.8,1911,1089,2200,192.4,206.1,53.3,44.3,49.3,,,,,,,,,,,
35,Dr,Driver,06/14/2024 00:04:54,127.5,-2.8,20.9,3816,915,3924,192.6,208.1,16.2,41.3,49.3,,,,,,,,,,,
36,Dr,Driver,06/14/2024 00:05:26,134.2,-4.4,21.1,3072,-134,3075,216.8,234.6,-23.5,46.5,48.9,,,,,,,,,,,
37,Dr,Driver,06/14/2024 00:07:01,123,-1.5,24.2,2001,443,2049,206.9,227.9,15.8,41.9,46.3,,,,,,,,,,,
38,Dr,Driver,06/14/2024 00:07:52,123,-0.3,27.5,3069,184,3075,188,204.7,5.2,50,52.5,,,,,,,,,,,
39,Dr,Driver,06/14/2024 00:08:33,125.3,5.3,29.1,2504,865,2649,198.3,212.6,53.6,54.4,53.5,,,,,,,,,,,
40,Dr,Driver,06/14/2024 00:09:26,125.3,-0.1,21.4,5729,2093,6099,173.4,185.5,37.2,41.1,51.9,,,,,,,,,,,
41,Dr,Driver,06/14/2024 00:11:01,132,1.4,14.6,3679,1691,4049,194.9,211.8,51.7,29.1,41.8,,,,,,,,,,,
42,Dr,Driver,06/14/2024 00:11:51,129.7,-3.5,17.2,2924,15,2924,211.3,230.5,-13.6,35.2,43.4,,,,,,,,,,,
43,Dr,Driver,06/14/2024 00:14:22,120.8,7.9,26.2,4480,1856,4849,168.9,173.6,58.2,44.8,53.5,,,,,,,,,,,
44,Dr,Driver,06/14/2024 00:15:42,132,-1.8,16.5,3563,996,3700,201.8,218.8,24.5,34.3,44.7,,,,,,,,,,,
45,Dr,Driver,06/14/2024 00:17:17,138.7,-5,12.3,3788,-289,3799,215.7,232.8,-30.2,30.9,41.8,,,,,,,,,,,
46,Dr,Driver,06/14/2024 00:17:47,138.7,-3,19.1,3124,-34,3124,225.7,243.2,-14.1,45.4,48.2,,,,,,,,,,,
47,Dr,Driver,06/14/2024 00:19:19,125.3,-4.4,20,6025,2156,6399,172.9,184.6,16.8,38.7,50.9,,,,,,,,,,,
48,Dr,Driver,06/14/2024 00:20:14,129.7,-1.8,23,2841,217,2849,207.6,226.9,-5.3,45.9,49.2,,,,,,,,,,,
49,Dr,Driver,06/14/2024 00:20:47,134.2,-3.2,21.9,3280,541,3324,212.3,229.2,0.5,48.4,50.5,,,,,,,,,,,
50,Dr,Driver,06/14/2024 00:21:16,132,5.3,24.1,2492,1162,2750,211,217.6,57.6,47.3,50.1,,,,,,,,,,,
51,Dr,Driver,06/14/2024 00:22:05,129.7,-6.5,21.1,3477,715,3550,202.2,218.5,-7.7,43.7,49.4,,,,,,,,,,,
52,Dr,Driver,06/14/2024 00:22:39,125.3,3.1,24.8,2094,749,2224,208.4,228.3,41,44.5,48,,,,,,,,,,,
53,Dr,Driver,06/14/2024 00:23:00,134.2,-1.3,14.3,5039,1059,5149,194.6,208.7,13.8,33.3,45.5,,,,,,,,,,,
54,Dr,Driver,06/14/2024 00:23:29,134.2,-1,24.8,2926,370,2949,215.6,233.3,4.6,54.4,52.1,,,,,,,,,,,
55,Dr,Driver,06/14/2024 00:23:54,132,2.9,12.1,4122,2203,4674,186.9,199.4,52.2,24.1,39.1,,,,,,,,,,,
56,Dr,Driver,06/14/2024 00:24:21,140.9,0.5,24.1,2561,266,2575,233.6,252.9,8,56.3,51.3,,,,,,,,,,,
57,Dr,Driver,06/14/2024 00:25:49,138.7,0.2,18.1,2946,144,2950,228.7,247.5,-0.3,42.7,46.6,,,,,,,,,,,
58,Dr,Driver,06/14/2024 00:26:40,136.5,-1.5,22.1,2483,285,2499,229.3,249.3,0,48.6,48.6,,,,,,,,,,,
59,Dr,Driver,06/14/2024 00:27:47,136.5,-8.3,20.6,2523,-82,2524,230.1,249.6,-48,45.5,47.2,,,,,,,,,,,
60,Dr,Driver,06/14/2024 00:28:11,127.5,-3.6,21.5,4481,1332,4675,184.2,198,12.9,42,50.8,,,,,,,,,,,
61,Dr,Driver,06/14/2024 00:28:36,140.9,-6.4,21.7,2325,0,2325,242.2,263.1,-37.8,50.4,48.2,,,,,,,,,,,
62,Dr,Driver,06/14/2024 00:29:35,129.7,1.1,24.9,1813,475,1874,225.3,247,25.1,47.3,47.4,,,,,,,,,,,
63,Dr,Driver,06/14/2024 00:30:08,138.7,-5.9,20.1,3502,-716,3574,215.6,227.6,-55.5,46.6,49.9,,,,,,,,,,,
64,Dr,Driver,06/14/2024 00:30:40,132,-1.1,24.1,2231,812,2374,216.6,236.3,27.5,46.9,48.8,,,,,,,,,,,
65,Dr,Driver,06/14/2024 00:31:08,134.2,-3.6,20.2,2694,551,2750,221.4,240.5,2,43.2,47,,,,,,,,,,,
66,Dr,Driver,06/14/2024 00:31:33,134.2,-6.4,22.1,2994,-179,2999,214.7,232.5,-40.5,47.7,49.7,,,,,,,,,,,
67,Dr,Driver,06/14/2024 00:32:01,134.2,-5.4,17.4,3547,136,3550,209.2,226.4,-24,38.5,46.3,,,,,,,,,,,
