Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Dr,Driver,06/02/2024 06:36:55,118.6,8.7,29.2,2831,828,2950,180.2,186,52,48.6,52.8,,,,,,,,,,,
2,Dr,Driver,06/02/2024 06:38:00,136.5,-1.7,23.2,2803,510,2849,221.7,240.3,15.8,51.2,50.5,,,,,,,,,,,
3,Dr,Driver,06/02/2024 06:38:40,136.5,0.4,24.3,2964,988,3124,213.7,231,40.8,52.1,51.9,,,,,,,,,,,
4,Dr,Driver,06/02/2024 06:39:14,129.7,-7.9,18.9,3290,-251,3300,206.8,224.5,-40.1,39,46.4,,,,,,,,,,,
5,Dr,Driver,06/02/2024 06:39:49,129.7,1.7,26.8,2442,1027,2649,206.1,224.5,50,51,51.7,,,,,,,,,,,
6,Dr,Driver,06/02/2024 06:40:28,140.9,-4.7,18.4,4530,798,4600,211.6,226.3,5,46.2,50.7,,,,,,,,,,,
7,Dr,Driver,06/02/2024 06:41:08,134.2,-4.3,22,3731,574,3775,206.9,222.7,2.2,48.7,51.2,,,,,,,,,,,
8,Dr,Driver,06/02/2024 06:41:51,138.7,-0.7,21.5,3871,-170,3875,213.8,229.9,-8.7,51.3,51.5,,,,,,,,,,,
9,Dr,Driver,06/02/2024 06:42:36,138.7,1.7,20.6,3990,1139,4149,208.6,224.3,42.3,47.5,51.2,,,,,,,,,,,
10,Dr,Driver,06/02/2024 06:44:12,127.5,1.5,21.7,3433,1378,3699,192,208.2,46.3,40.5,48.9,,,,,,,,,,,
11,3w,FW,06/02/2024 06:45:22,134.2,1.9,20.3,2535,447,2574,222.4,242.1,28.8,42.1,46.1,,,,,,,,,,,
12,3w,FW,06/02/2024 06:46:02,138.7,0.1,16.7,4415,728,4475,208.4,223.3,21.6,40.6,48.2,,,,,,,,,,,
13,3w,FW,06/02/2024 06:47:38,123,-6.6,16.9,3048,99,3050,196.6,215.1,-23.1,30.8,41.6,,,,,,,,,,,
14,3w,FW,06/02/2024 06:48:19,127.5,6.7,20.8,2816,787,2924,205.8,222.7,54,40,46.6,,,,,,,,,,,
15,3w,FW,06/02/2024 06:48:50,120.8,2.3,29,5323,-145,5325,163.8,175.6,3.3,51.7,55.6,,,,,,,,,,,
16,3h,Hybrid,06/02/2024 06:51:58,114.1,2.5,17.4,3098,1205,3324,170.4,187.9,37.5,25,39.3,,,,,,,,,,,
17,3h,Hybrid,06/02/2024 06:52:18,123,-0.7,14.1,5003,-465,5025,179.6,194.1,-13.4,27.7,42.5,,,,,,,,,,,
