Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,8i,Iron,06/12/2024 02:49:39,73.8,-3.2,30.1,3456,-359,3475,91.4,103.6,-9.1,18.9,43.5,,,,,,,,,,,
2,8i,Iron,06/12/2024 02:49:56,78.3,-4.9,20.5,5824,31,5824,93.4,104.4,-8.9,13.4,35.8,,,,,,,,,,,
3,5h,Hybrid,06/12/2024 02:52:02,98.4,-6.1,33.2,3338,-273,3349,137.6,151.5,-21.7,39.8,52.9,,,,,,,,,,,
4,5h,Hybrid,06/12/2024 02:52:24,100.7,-3.1,30,3643,-218,3650,143.3,157.1,-12.9,37.7,51.4,,,,,,,,,,,
5,5h,Hybrid,06/12/2024 02:53:01,105.1,-13,25.2,2764,-955,2924,155,161.3,-56.6,31.4,45.8,,,,,,,,,,,
6,5h,Hybrid,06/12/2024 02:53:26,109.6,-0.8,26.2,2822,-124,2825,169.1,186.3,-6.4,38.3,48.4,,,,,,,,,,,
7,5h,Hybrid,06/12/2024 02:54:01,107.4,-5.7,25.1,2926,-766,3025,162.3,180.2,-38.5,34.3,47,,,,,,,,,,,
8,5h,Hybrid,06/12/2024 02:55:06,118.6,-6.8,8.1,3481,-2165,4099,143.4,150.9,-46.9,9.9,22.6,,,,,,,,,,,
9,5h,Hybrid,06/12/2024 02:55:31,109.6,2.1,19,2825,371,2849,166.2,183.6,17,25.7,39.6,,,,,,,,,,,
10,5h,Hybrid,06/12/2024 02:56:00,118.6,2.5,27.4,2050,315,2074,197.9,217.5,24.2,46.3,49.2,,,,,,,,,,,
11,5h,Hybrid,06/12/2024 02:56:53,111.8,-2.8,29.1,3075,-387,3099,167.6,183.2,-19.8,44.6,52.1,,,,,,,,,,,
12,3w,FW,06/12/2024 02:57:40,125.3,-0.5,17.5,116,-94,149,128,182,13.8,10.4,18.8,,,,,,,,,,,
13,3w,FW,06/12/2024 02:58:06,100.7,-6.3,39.9,4887,-782,4949,119.5,129.8,-24.2,48.1,58.8,,,,,,,,,,,
14,3w,FW,06/12/2024 02:58:34,94,-9.6,47.1,4752,-1085,4874,98.8,107.9,-28.7,49.5,62.5,,,,,,,,,,,
15,3w,FW,06/12/2024 03:00:05,123,3.2,20.7,2368,718,2474,199.6,219.8,41.4,35.4,43.8,,,,,,,,,,,
16,3w,FW,06/12/2024 03:01:03,129.7,-5.8,10.9,2294,-1054,2525,194.5,202.9,-53.1,17.7,28.6,,,,,,,,,,,
17,3w,FW,06/12/2024 03:01:30,120.8,7.4,26.7,2834,1192,3074,184.6,190.8,59.1,45.2,51.4,,,,,,,,,,,
18,3w,FW,06/12/2024 03:02:00,105.1,-5.1,38.1,5351,-1155,5474,127,137.3,-27.1,50.5,59,,,,,,,,,,,
19,3w,FW,06/12/2024 03:02:28,100.7,1.3,35.9,4561,-348,4574,130,141.4,-1.9,45.1,56.6,,,,,,,,,,,
20,Dr,Driver,06/12/2024 03:03:11,132,-0.3,19.2,2699,370,2724,217.9,237.2,14.9,40,45.5,,,,,,,,,,,
21,Dr,Driver,06/12/2024 03:04:42,123,-5.3,21.1,3615,-660,3675,188.1,204.4,-38.1,39,48.2,,,,,,,,,,,
22,Dr,Driver,06/12/2024 03:06:52,127.5,4.2,25.5,1840,715,1974,216.7,237.7,55.6,46.5,48,,,,,,,,,,,
23,Dr,Driver,06/12/2024 03:07:19,134.2,-1.8,20.3,2372,365,2400,224.3,244.5,10.4,41.8,45.6,,,,,,,,,,,
